Synonym,Raw.Counts.PAK.Replicate.1,Raw.Counts.PAK.Replicate.2,Raw.Counts.PAK.Replicate.3,Raw.Counts.PilA.Replicate.1,Raw.Counts.PilA.Replicate.2,Raw.Counts.PilA.Replicate.3,Raw.Counts.PilR.Replicate.1,Raw.Counts.PilR.Replicate.2,Raw.Counts.PilR.Replicate.3
PA0448,0,2,1,0,3,1,8,2,0
PA0449,7,14,9,6,4,8,14,9,7
predicted RNA,302,367,317,330,226,320,430,267,326
PA0450,17,38,29,26,23,44,40,44,36
predicted RNA,92,251,262,300,166,250,331,255,259
PA0451,2,3,5,3,3,1,10,3,4
PA0452,1,6,7,3,0,3,5,1,3
predicted RNA,2,4,4,4,2,6,2,3,3
predicted RNA,6,37,34,33,19,63,46,38,45
PA0451a,3,15,4,8,11,10,8,10,8
PA0454,4,38,26,41,21,38,37,34,22
PA0455,1,5,5,7,2,8,10,3,2
predicted RNA,2877,3602,2860,2297,2369,2305,2866,3049,2356
PA0456,0,2,2,1,1,1,2,2,0
PA0457,10,17,14,7,6,10,13,15,10
PA0457.1,4,12,4,2,6,5,1,3,4
PA0458,2,13,6,7,3,7,7,6,11
predicted RNA,1146,1279,674,730,832,774,1067,694,714
PA0459,13,19,22,11,10,12,12,12,10
predicted RNA,599,582,394,437,495,396,573,395,419
PA0460,2,7,9,3,4,7,8,6,9
predicted RNA,349,368,300,204,268,194,307,265,274
PA0461,13,20,12,24,9,16,16,14,15
predicted RNA,225,283,236,237,206,224,332,186,220
PA0462,0,1,0,0,0,0,0,2,0
PA0463,1,0,2,2,0,1,0,1,0
PA0464,5,7,13,12,5,11,16,16,8
PA0465,13,20,13,10,7,9,17,13,13
PA0466,0,2,0,0,2,0,2,0,1
PA0467,6,13,8,3,8,2,16,7,8
PA0468,0,8,6,5,6,4,9,5,5
PA0469,5,4,3,7,5,7,14,9,3
predicted RNA,49,90,68,91,70,73,106,97,84
PA0470,35,60,55,60,26,55,62,91,42
PA0471,5,10,12,4,2,7,5,1,6
predicted RNA,24,47,48,31,27,28,44,48,32
PA0472,0,1,0,0,0,1,0,2,0
PA0473,0,3,0,2,1,1,2,0,4
predicted RNA,61,52,47,45,53,38,72,61,62
PA0474,0,3,1,0,2,2,0,1,1
PA0475,5,15,19,7,15,12,12,20,9
PA0476,41,119,87,100,67,122,120,118,104
PA0477,3,8,3,5,4,9,3,9,6
PA0478,1,4,2,0,1,3,2,3,0
PA0479,6,13,12,14,4,9,18,7,20
PA0480,0,6,2,0,1,7,4,7,5
PA0481,1,2,1,1,0,1,1,0,0
predicted RNA,1198,1160,963,733,877,795,1168,1065,896
PA0482,26,29,32,26,23,23,52,35,29
PA0483,27,44,50,38,20,38,52,59,37
predicted RNA,54,87,53,60,60,56,115,74,68
predicted RNA,353,816,600,596,474,730,984,706,759
PA0484,4,4,0,2,1,4,6,3,5
PA0485,12,42,39,28,26,37,35,25,39
PA0486,2,4,3,7,5,5,4,6,1
PA0487,0,5,2,2,0,5,7,4,7
PA0488,1,3,0,6,0,3,2,1,3
PA0489,0,1,0,0,1,6,1,1,2
predicted RNA,101,156,136,105,100,117,122,94,110
PA0490,1,3,2,3,5,1,4,2,1
PA0491,12,10,6,9,5,6,10,17,8
PA0492,4,10,8,3,6,9,11,8,6
PA0493,0,4,3,0,4,3,1,4,1
PA0494,0,8,8,3,7,11,8,12,10
PA0495,17,32,20,19,15,34,30,40,28
PA0496,8,26,14,21,20,19,28,23,10
PA0497,0,0,0,0,0,0,0,0,0
PA0498,0,0,0,0,0,0,0,0,0
PA0499,2,10,5,4,4,2,4,4,5
predicted RNA,434,692,630,548,503,621,807,719,674
PA0500,2,18,4,5,12,7,10,3,0
PA0501,0,3,3,1,2,2,3,5,1
PA0502,0,2,1,2,0,2,0,0,2
predicted RNA,12,22,14,13,13,15,16,16,10
PA0503,1,0,0,0,1,0,1,0,1
PA0504,0,0,1,0,1,2,2,1,0
predicted RNA,203,462,292,377,206,392,421,511,277
PA0505,2,1,1,1,0,1,4,2,1
predicted RNA,333,395,296,248,263,245,339,297,318
PA0506,19,29,27,63,34,60,26,28,19
predicted RNA,190,234,141,119,117,136,140,147,162
PA0507,21,21,26,128,79,131,6,12,5
PA0508,7,11,3,2,8,13,6,8,12
PA0509,2,0,4,3,3,0,5,3,1
PA0510,0,1,0,2,0,0,3,2,3
PA0511,6,10,7,6,7,12,15,12,8
PA0512,0,0,1,0,0,0,2,2,1
PA0513,0,0,0,2,1,0,0,0,0
PA0514,1,1,2,2,1,0,0,0,2
PA0515,5,6,12,6,4,5,4,14,3
PA0516,2,10,4,3,3,7,4,3,6
PA0517,0,0,0,0,3,2,1,1,1
predicted RNA,376,491,238,275,281,257,304,268,331
PA0518,0,1,0,0,0,0,1,2,3
PA0519,17,13,6,5,8,8,8,7,9
predicted RNA,124,139,81,71,75,80,98,71,107
predicted RNA,287,303,174,202,206,167,271,182,225
PA0520,1,2,0,1,0,0,4,3,0
predicted RNA,26,53,41,44,41,48,58,63,35
PA0521,0,0,0,2,0,3,2,0,0
PA0522,0,0,1,1,0,1,0,0,2
PA0523,0,3,3,1,1,2,4,4,4
predicted RNA,41,52,50,53,47,57,99,95,113
PA0524,2,10,7,3,1,5,5,9,4
PA0525,11,19,6,16,17,23,22,14,13
PA0526,0,4,0,3,1,2,1,1,1
PA0527,31,75,63,60,29,49,55,61,48
PA0527.1,3,5,1,2,1,2,7,2,1
predicted RNA,204,256,78,137,148,132,87,163,135
PA0528,4,1,3,4,2,0,1,0,3
PA0529,0,3,1,0,1,0,4,1,0
PA0530,4,7,3,2,3,3,2,6,0
PA0531,6,32,18,17,19,29,25,19,16
PA0532,10,10,9,8,4,19,6,9,13
PA0533,3,6,4,2,5,4,9,7,4
predicted RNA,155,63,69,73,92,57,65,17,39
PA0534,9,18,12,19,13,18,27,18,7
predicted RNA,238,119,76,88,97,56,110,48,60
predicted RNA,38,19,18,15,13,10,15,12,9
PA0535,5,5,10,4,2,7,9,2,6
PA0536,3,3,1,1,4,5,5,7,3
PA0537,2,1,0,1,2,0,1,3,1
predicted RNA,98,91,76,76,80,63,94,65,73
PA0538,1,2,4,0,1,1,2,1,1
PA0539,0,0,1,1,0,0,0,0,1
predicted RNA,82,62,54,68,89,42,71,32,79
PA0540,2,3,0,1,0,2,3,4,0
predicted RNA,49,28,24,22,26,21,11,24,25
PA0541,7,19,5,7,9,13,8,8,7
predicted RNA,58,91,65,44,71,53,57,53,51
PA0542,3,2,7,2,2,3,2,4,1
PA0543,6,7,6,5,7,5,17,18,11
PA0544,40,74,68,99,58,103,100,88,85
PA0545,0,4,2,1,0,1,5,0,3
predicted RNA,14,26,17,19,11,15,18,18,14
predicted RNA,770,607,428,428,553,440,569,418,505
PA0546,18,40,34,33,23,34,44,41,16
PA0547,5,5,6,3,5,4,15,12,4
predicted RNA,402,320,183,180,242,181,321,181,213
PA0548,17,23,18,24,13,14,13,27,26
predicted RNA,31,29,16,21,31,14,25,16,14
predicted RNA,104,99,49,57,80,47,93,44,59
predicted RNA,19,24,13,19,19,15,18,8,14
PA0549,5,7,5,4,6,6,9,4,1
PA0550,6,16,9,5,7,11,14,12,8
PA0551,3,10,5,1,9,8,17,9,7
predicted RNA,97,88,51,50,69,48,74,61,54
PA0552,3,9,11,4,3,7,4,9,0
predicted RNA,52,37,34,20,27,23,42,29,25
predicted RNA,802,1189,896,1062,867,1003,1273,1101,951
PA0553,2,6,4,2,1,4,5,3,1
PA0554,1,2,0,2,0,2,1,0,3
PA0555,5,20,12,9,7,14,17,16,9
PA0556,11,21,14,22,12,22,30,34,20
PA0557,7,18,16,14,7,14,22,16,17
PA0558,3,7,3,5,3,2,2,5,2
PA0559,30,64,51,44,23,43,72,66,56
PA0560,1,2,2,0,2,1,2,2,0
PA0561,10,15,16,10,14,18,10,9,11
PA0562,5,8,5,9,5,8,5,11,6
predicted RNA,367,376,278,198,175,146,218,215,239
PA0563,0,2,1,0,1,2,2,0,1
PA0564,3,6,8,7,6,15,8,11,5
PA0565,15,21,18,15,13,19,24,24,13
PA0566,727,555,373,258,412,398,992,1147,284
PA0567,9,12,6,5,7,8,8,11,14
PA0568,51,53,37,48,43,37,61,84,45
PA0569,2,3,4,3,0,4,4,2,1
PA0570,1,1,1,0,3,1,0,0,2
PA0571,1,1,1,2,3,3,1,3,4
predicted RNA,62,45,21,15,15,18,25,11,16
PA0572,18,22,19,15,16,23,34,18,14
predicted RNA,259,215,87,52,57,45,104,48,65
predicted RNA,99,73,31,29,18,23,33,18,23
predicted RNA,62,48,27,17,17,11,17,15,20
predicted RNA,248,217,91,44,53,59,108,43,46
PA0573,28,37,31,13,12,11,14,9,17
PA0574,7,13,11,10,10,9,8,13,10
predicted RNA,21,47,53,38,25,38,49,44,40
PA0574.1,0,2,1,2,0,0,0,1,1
PA0575,24,35,32,34,15,35,31,32,22
PA0576,8,15,7,7,5,13,11,6,8
predicted RNA,1145,1473,1090,1120,1066,1362,1219,1282,1037
PA0577,22,29,22,18,16,23,32,37,15
PA0578,1,4,3,4,2,3,3,8,3
predicted RNA,452,522,376,339,424,281,304,292,311
PA0579,4,9,6,6,4,14,8,4,8
PA0580,7,20,22,14,6,23,24,27,25
PA0581,88,230,167,94,152,97,135,73,170
PA0582,2,3,1,2,1,1,0,1,2
PA0583,9,13,3,11,5,9,17,12,9
PA0584,7,16,14,14,4,3,12,8,6
predicted RNA,16,30,21,17,15,34,30,21,23
PA0585,1,1,3,0,2,2,4,2,3
predicted RNA,8491,15152,11293,12030,10618,14013,16088,12016,13549
PA0586,10,20,12,15,10,14,24,18,17
PA0587,33,54,38,26,31,42,53,43,38
PA0588,24,27,37,27,26,29,57,51,38
PA0589,4,10,5,9,3,5,12,11,6
PA0590,0,11,7,2,3,6,4,8,1
predicted RNA,14,28,27,26,20,39,30,27,26
PA0591,2,2,1,0,2,1,1,1,0
predicted RNA,93,127,108,92,75,83,106,108,86
PA0592,6,18,10,11,12,9,15,9,13
PA0593,7,19,6,4,10,13,13,13,12
PA0594,9,9,11,11,14,14,18,17,15
predicted RNA,113,110,96,67,80,85,95,100,85
predicted RNA,49,97,83,66,56,63,65,88,63
predicted RNA,160,162,106,112,125,122,132,125,133
PA0595,25,63,58,48,25,71,62,56,42
predicted RNA,321,302,245,172,251,171,277,198,183
PA0596,1,3,7,7,0,5,8,5,5
PA0597,0,0,1,0,0,2,1,0,1
PA0598,7,10,10,10,8,11,15,11,13
PA0599,11,29,12,13,14,16,16,18,18
PA0600,4,16,11,4,3,5,8,7,5
predicted RNA,3,7,6,6,3,7,6,8,4
PA0601,0,6,6,1,0,3,3,4,5
predicted RNA,648,585,409,179,243,178,236,192,235
PA0602,26,43,34,28,25,39,47,33,32
predicted RNA,1664,1330,1246,1259,1184,1110,1956,1946,1324
PA0603,5,17,8,14,8,19,10,14,10
PA0604,5,10,4,8,6,7,8,7,8
PA0605,17,56,44,52,38,51,75,50,52
PA0606,6,10,4,2,3,5,11,11,7
PA0607,1,1,5,1,3,5,8,3,5
predicted RNA,5,3,3,4,3,2,4,3,1
PA0608,2,4,3,6,0,5,2,4,1
predicted RNA,74,130,106,93,59,80,96,105,86
PA0609,11,17,18,15,10,15,15,8,11
predicted RNA,151,204,226,136,139,185,168,147,158
PA0610,3,4,2,4,5,2,3,5,1
PA0611,2,2,0,1,5,4,1,3,2
predicted RNA,39,48,42,26,27,30,10,11,24
predicted RNA,2,4,3,1,1,2,1,1,2
PA0612,1,0,0,1,0,0,0,0,0
PA0613,1,3,3,3,2,1,2,0,0
predicted RNA,150,182,115,58,74,55,53,41,61
PA0614,1,0,1,3,0,0,0,3,0
predicted RNA,2850,4918,4076,1833,1822,2455,2176,1091,2901
PA0615,2,3,2,1,0,3,2,0,0
PA0616,2,3,7,7,3,4,5,3,8
PA0617,0,4,1,1,3,5,1,4,3
PA0618,8,11,5,2,6,5,10,4,5
PA0619,6,3,9,10,10,7,14,12,5
PA0620,3,14,19,12,14,20,12,9,15
PA0621,0,0,0,0,0,0,0,0,0
predicted RNA,9426,16627,13551,6049,6107,7904,7130,3512,9402
PA0622,3,7,15,6,7,6,9,13,7
PA0623,0,5,3,3,0,5,3,6,1
PA0624,3,4,4,1,0,3,4,0,1
PA0625,9,12,14,11,12,12,13,10,12
PA0626,3,12,7,5,6,9,5,6,9
PA0627,0,0,1,0,0,0,0,0,0
PA0628,1,0,4,0,1,0,2,5,3
PA0629,3,0,2,0,0,1,3,1,4
PA0630,1,0,1,0,0,0,2,1,1
PA0631,1,1,1,0,3,0,3,0,1
PA0633,3,3,0,2,1,1,2,0,2
PA0634,3,1,3,1,2,0,1,1,0
PA0635,2,2,3,1,1,1,2,4,3
PA0636,7,15,10,8,8,7,10,7,6
PA0637,0,1,2,1,0,0,1,0,0
PA0638,3,0,2,1,2,0,2,0,2
PA0639,4,7,10,2,6,9,6,6,4
PA0640,0,3,1,0,1,0,1,1,0
predicted RNA,1114,2125,1653,883,823,1018,1032,462,1201
PA0641,46,52,51,40,45,45,63,56,51
PA0643,0,0,0,0,0,0,0,0,0
PA0644,0,0,0,0,0,0,0,0,0
PA0645,0,0,0,0,0,0,0,0,0
PA0646,0,0,0,0,0,0,0,0,0
PA0647,0,0,0,0,0,0,0,0,0
PA0648,0,0,0,0,0,0,0,0,0
predicted RNA,146,194,137,130,86,108,150,129,79
PA0649,1,6,2,2,2,5,5,5,2
predicted RNA,14,19,13,8,12,12,11,9,12
PA0650,0,3,2,1,5,0,5,2,4
predicted RNA,17,13,14,9,11,12,11,9,12
predicted RNA,87,171,115,88,84,67,136,90,96
predicted RNA,247,311,239,217,234,192,277,253,234
PA0651,40,33,21,20,20,22,21,24,20
predicted RNA,45,51,38,31,35,30,51,33,29
predicted RNA,791,730,491,363,426,345,452,383,372
PA0652,22,45,25,14,22,16,17,9,15
predicted RNA,126,137,109,116,112,83,79,100,95
PA0653,5,4,6,3,4,2,7,5,1
PA0654,15,15,10,10,12,14,19,12,10
PA0655,33,41,32,20,21,16,22,12,20
predicted RNA,223,311,253,166,220,199,331,252,196
predicted RNA,198,383,257,296,225,283,375,232,295
PA0656,19,23,24,15,10,10,11,7,4
PA0657,3,9,2,3,1,4,4,5,6
PA0658,47,65,48,33,36,39,37,20,31
PA0659,54,81,59,32,31,42,46,23,46
predicted RNA,120,119,73,48,68,58,83,52,70
PA0660,36,56,33,20,14,18,24,16,30
predicted RNA,113,136,91,81,108,89,153,108,120
predicted RNA,2,2,2,3,1,1,2,2,2
predicted RNA,112,143,96,91,85,130,116,109,111
PA0661,10,21,16,12,7,10,11,2,8
predicted RNA,11,11,14,8,10,9,7,8,6
predicted RNA,73,69,47,32,27,25,27,25,33
PA0662,6,11,7,3,7,5,3,9,4
PA0663,3,2,3,4,1,1,3,4,2
predicted RNA,65,73,65,41,31,25,33,28,34
PA0664,2,5,2,5,3,12,14,10,3
predicted RNA,46,48,25,20,14,20,17,18,13
predicted RNA,85,180,185,163,88,160,225,237,217
PA0665,3,4,5,8,5,3,5,6,4
PA0666,24,34,44,29,25,32,26,40,32
PA0667,42,56,57,67,46,50,35,42,43
PA0668,81,98,80,111,115,130,81,79,60
PA0668.1,8,29,8,5,5,4,3,5,6
predicted RNA,513,11196,822,714,1099,415,356,348,390
predicted RNA,2067,67501,2558,2338,2701,1969,1252,1387,1450
PA0668.2,0,0,0,0,0,0,0,0,0
PA0668.3,0,0,0,0,0,0,0,0,0
PA0668.4,4,405,14,12,6,13,7,8,6
PA0668.5,0,0,0,0,0,0,0,0,0
PA0669,24,48,50,53,28,42,41,55,35
PA0670,6,19,11,7,4,11,14,15,13
PA0671,7,8,9,14,4,7,8,7,11
PA0672,5,19,25,17,19,23,30,36,24
PA0673,24,42,22,34,31,33,38,42,30
PA0674,1,2,1,0,1,0,1,0,3
PA0675,2,1,0,0,0,1,2,2,3
PA0676,0,2,3,5,4,1,5,2,6
PA0677,0,1,1,9,2,7,0,0,0
PA0678,0,0,0,1,0,1,0,0,0
PA0679,0,0,0,0,0,0,0,0,0
PA0680,3,4,6,5,2,4,5,4,3
PA0681,0,0,2,0,0,1,1,3,0
PA0682,2,2,4,4,3,6,6,7,1
PA0683,0,0,0,1,0,1,0,0,0
PA0684,0,1,0,2,0,0,0,0,0
PA0685,8,20,14,15,11,18,24,19,20
PA0686,4,13,10,9,7,5,11,7,6
PA0687,1,3,3,3,0,1,1,3,2
PA0688,5,9,8,10,7,10,15,11,7
PA0689,0,0,0,0,0,0,0,0,0
PA0690,56,115,98,74,65,100,92,108,92
PA0691,0,0,0,0,0,0,0,0,0
PA0692,1,5,4,3,2,3,6,6,2
PA0693,4,9,3,7,4,8,10,9,7
PA0694,0,0,0,0,0,0,0,0,0
PA0695,0,0,0,2,0,0,0,0,0
PA0696,7,20,12,10,4,7,10,9,7
PA0697,0,2,2,0,0,0,0,1,1
PA0698,0,0,0,0,2,0,0,0,0
PA0699,1,1,0,0,0,0,1,0,1
PA0700,0,1,2,3,0,1,3,3,0
PA0701,1,1,1,0,0,1,1,2,0
PA0701a,0,1,0,0,3,0,1,0,0
PA0702,9,10,15,10,13,11,19,9,10
PA0703,4,6,3,3,1,2,4,4,5
PA0704,5,18,10,7,8,10,19,14,11
PA0705,5,4,1,8,0,1,4,5,4
PA0706,2,5,4,4,3,6,4,9,2
PA0707,2,1,6,3,1,5,8,4,8
PA0708,1,1,10,2,1,3,3,5,1
PA0709,0,2,0,2,0,2,0,1,2
PA0710,3,8,8,4,3,8,8,2,4
PA0711,1,2,0,1,2,3,4,3,3
PA0712,0,0,1,0,2,1,0,2,1
PA0713,2,3,1,2,1,0,3,4,3
PA0714,1,4,0,0,0,2,1,0,0
PA0714.1,0,0,0,0,0,0,0,0,0
PA0715,0,0,0,0,0,0,0,0,0
PA0716,0,0,0,0,0,0,0,0,0
PA0718,0,3,2,4,2,2,3,3,2
PA0719,0,1,3,5,0,1,1,3,0
PA0720,1,2,0,0,0,2,0,1,2
PA0721,0,0,0,0,0,2,1,1,2
PA0722,1,1,2,2,0,5,2,5,3
PA0723,0,0,0,0,0,0,1,0,1
PA0724,4,13,7,5,3,7,9,9,6
PA0725,1,4,1,2,1,3,0,2,5
PA0726,12,25,12,21,8,19,18,29,26
PA0727,12,17,11,6,7,11,7,13,8
PA0728,0,0,0,0,0,0,0,0,0
PA0729,0,0,0,0,0,0,0,0,0
PA0729.1,0,0,0,0,0,0,0,0,0
PA0730,11,22,15,12,9,19,12,22,20
PA0731,0,1,2,2,3,0,3,5,3
predicted RNA,41,76,58,78,41,59,82,58,53
PA0732,8,19,14,13,16,14,19,14,10
predicted RNA,64,108,88,91,64,88,95,91,67
PA0733,2,5,3,9,3,1,5,11,5
PA0734,1,5,2,2,1,4,3,8,1
PA0735,0,0,2,5,2,2,1,5,1
PA0736,16,56,33,54,27,27,46,35,51
predicted RNA,161,455,341,528,363,599,661,481,392
PA0736a,0,1,0,1,1,0,0,0,2
PA0737,2,0,4,5,4,0,1,2,1
PA0738,1,2,0,3,0,3,4,2,0
PA0739,0,3,1,4,1,1,3,3,0
PA0740,8,20,14,15,13,10,26,18,17
PA0741,7,7,2,1,6,4,8,2,3
predicted RNA,1,3,1,1,1,2,2,3,1
PA0742,2,4,10,4,0,4,6,7,4
predicted RNA,2052,2160,1414,1449,1580,1472,2084,1413,1569
PA0743,13,17,16,15,11,12,24,22,12
PA0744,2,12,5,2,5,5,3,4,5
PA0745,3,5,6,1,8,0,2,2,5
PA0746,12,39,31,25,16,19,44,24,14
PA0747,21,35,36,28,17,32,30,38,21
predicted RNA,87,60,40,39,55,44,46,36,36
predicted RNA,347,290,180,189,239,196,274,138,161
PA0749,1,10,3,2,2,10,3,1,1
predicted RNA,67,47,39,32,30,30,51,37,37
PA0750,0,2,5,1,3,0,2,2,2
PA0751,16,10,8,6,4,6,5,11,7
PA0752,3,4,4,4,4,1,3,0,7
PA0753,1,1,0,4,1,4,4,6,4
PA0754,1,10,3,4,1,1,5,7,3
PA0755,2,8,8,7,5,2,9,4,11
PA0756,3,2,0,0,0,0,6,0,4
PA0757,7,13,9,7,3,5,8,3,6
PA0758,10,25,17,12,6,13,17,18,15
PA0759,4,5,7,5,4,4,7,7,4
PA0760,3,8,2,1,1,3,7,6,4
predicted RNA,66,86,53,65,69,72,86,83,66
PA0761,69,191,139,138,117,153,218,177,153
predicted RNA,10,21,17,19,12,18,27,23,22
predicted RNA,1,4,3,2,1,2,3,3,4
predicted RNA,65,94,95,94,68,77,81,72,78
PA0762,4,5,1,2,3,1,6,5,6
PA0763,5,7,8,1,2,6,12,4,2
PA0764,1,5,1,4,0,3,6,2,3
PA0765,1,2,2,1,0,6,8,4,2
predicted RNA,1080,1358,920,954,1042,991,1188,965,817
PA0766,2,9,2,9,1,3,15,4,7
PA0767,6,33,20,37,19,25,27,24,22
predicted RNA,37,72,52,53,39,54,76,56,64
predicted RNA,182,313,235,236,209,245,227,225,225
PA0768,16,34,34,11,13,23,24,27,23
predicted RNA,33,42,46,37,34,32,50,33,34
predicted RNA,296,558,393,365,278,430,347,415,401
PA0769,0,4,1,2,0,0,1,0,0
PA0770,0,2,4,2,1,1,1,1,1
PA0771,2,5,7,6,1,6,6,12,5
PA0772,0,1,0,0,0,0,0,0,1
PA0773,11,15,12,20,8,18,18,29,13
PA0774,22,27,27,20,14,9,22,19,21
PA0775,0,6,2,3,3,1,5,3,3
PA0776,1,1,0,5,4,1,1,2,1
PA0777,0,0,2,0,1,0,6,3,0
predicted RNA,11,13,12,12,10,10,18,13,8
PA0778,4,0,2,2,3,1,4,3,3
PA0779,41,57,45,41,26,40,39,48,36
predicted RNA,502,727,468,644,530,983,708,814,485
PA0780,2,2,0,1,0,0,0,0,1
predicted RNA,15,23,21,25,12,15,20,25,18
PA0781,7,21,11,7,11,21,17,18,7
PA0782,8,11,9,10,9,13,12,12,8
predicted RNA,21,30,22,28,20,28,36,34,24
predicted RNA,52,56,53,33,35,39,26,30,34
PA0783,7,18,13,5,7,11,17,16,15
predicted RNA,26,31,17,22,28,29,28,25,18
PA0784,4,20,7,5,8,7,6,5,7
PA0785,0,1,0,1,0,0,0,0,3
PA0786,0,0,1,0,0,0,0,0,1
PA0787,24,102,63,80,64,112,145,77,106
PA0788,51,55,59,58,41,44,61,80,56
PA0788a,1,0,1,1,1,0,0,5,2
predicted RNA,10,29,28,27,16,23,34,31,17
PA0789,3,16,12,5,5,8,9,12,10
PA0790,3,30,18,17,14,22,27,24,19
PA0791,43,59,46,39,47,52,84,73,56
PA0792,20,43,45,33,17,39,51,34,33
predicted RNA,125,151,123,118,133,139,186,143,138
PA0793,4,14,4,4,6,14,6,10,9
predicted RNA,7,5,3,2,4,5,4,4,3
PA0794,28,59,53,44,29,57,66,71,34
predicted RNA,26,23,14,13,17,14,20,20,17
predicted RNA,15,11,5,6,5,9,10,9,7
predicted RNA,1588,1676,1243,1137,1261,1447,1486,1346,1288
PA0795,23,18,24,14,26,22,19,36,19
PA0796,10,11,9,7,6,6,4,8,5
PA0797,2,2,4,1,1,1,4,3,1
predicted RNA,35,45,29,32,27,33,53,32,33
PA0798,2,9,5,3,3,4,4,8,4
PA0799,14,31,13,23,16,26,29,29,27
PA0800,0,2,0,1,0,0,2,1,0
PA0801,5,12,7,6,5,5,5,9,13
PA0802,2,1,1,3,0,2,3,5,4
PA0803,6,5,1,5,3,9,8,9,3
predicted RNA,201,322,207,200,179,230,303,226,246
PA0804,23,22,13,18,16,18,12,25,10
predicted RNA,1324,2070,1675,1536,1438,1787,1284,1723,1796
PA0805,0,3,6,3,2,3,4,7,3
predicted RNA,17,22,26,19,15,20,14,18,26
PA0806,4,12,10,3,2,4,9,5,4
predicted RNA,52,70,44,34,41,33,41,30,31
PA0807,0,2,2,1,4,4,2,2,2
PA0808,7,20,13,20,8,13,20,13,14
PA0809,81,267,156,76,70,97,115,54,103
PA0810,34,129,58,40,31,58,43,35,45
PA0811,57,176,80,24,37,60,62,33,54
predicted RNA,14,16,26,29,11,16,41,24,25
PA0812,67,196,118,44,36,73,66,26,54
PA0813,48,129,75,34,30,47,59,32,52
PA0814,14,34,17,4,11,15,9,4,4
predicted RNA,50,85,68,50,53,49,73,60,49
PA0815,4,11,18,15,9,16,26,19,10
PA0816,25,27,25,12,8,22,24,24,17
PA0817,5,10,2,6,8,4,4,5,4
PA0818,17,21,21,13,12,15,22,23,13
PA0819,2,4,6,2,4,7,7,2,1
PA0820,0,0,0,0,0,0,0,0,0
PA0821,0,0,0,0,0,0,0,0,0
PA0823,0,0,0,0,0,0,0,0,0
PA0824,0,0,0,0,0,0,0,0,0
PA0825,0,0,0,0,0,0,0,0,0
PA0826,0,0,0,0,0,0,0,0,0
predicted RNA,158321,286409,257541,218123,175078,253985,252754,257797,313877
PA0826.2,342,570,536,311,298,336,826,571,591
PA0827,2,0,1,4,1,0,3,5,4
PA0828,3,3,1,8,2,9,2,9,3
PA0829,2,4,3,6,3,6,5,3,7
PA0830,1,6,9,8,4,5,10,7,5
PA0831,1,15,3,7,5,7,7,16,11
PA0832,4,9,7,10,8,6,5,6,11
predicted RNA,842,1133,764,857,827,914,1148,716,839
PA0833,7,14,9,8,2,8,8,9,2
PA0834,2,9,2,8,3,2,6,6,6
PA0835,15,37,17,20,10,24,32,27,10
PA0836,5,9,5,9,2,7,13,11,20
PA0836.1,39,41,32,30,29,26,34,31,28
predicted RNA,1088,1297,1092,854,914,755,1169,1060,966
PA0837,5,11,3,5,4,5,10,2,2
PA0838,5,7,6,3,2,1,9,5,12
PA0839,1,8,4,4,3,5,4,6,1
PA0840,3,6,3,4,5,3,7,4,7
PA0841,0,3,6,4,9,20,2,9,5
PA0842,15,37,36,30,23,34,65,29,39
PA0843,1,1,1,1,0,0,5,0,0
PA0844,14,16,16,12,16,15,22,16,10
predicted RNA,57,74,35,36,48,23,38,24,35
PA0845,12,30,27,16,16,15,30,17,19
PA0846,4,13,5,6,6,5,8,11,2
PA0847,22,65,42,41,29,38,52,43,33
PA0848,0,1,2,3,7,1,1,0,2
PA0849,5,12,5,14,6,16,19,13,10
predicted RNA,113,294,311,265,175,233,233,198,252
PA0850,6,12,9,7,5,9,15,8,14
PA0851,11,25,20,18,7,12,21,16,15
predicted RNA,1665,1422,699,215,295,255,526,372,409
PA0852,6,22,15,15,8,14,14,12,14
PA0853,5,7,4,3,3,4,2,2,3
PA0854,12,17,20,12,7,8,19,15,15
predicted RNA,33,51,37,46,34,35,42,41,39
PA0855,1,9,2,4,3,2,7,3,0
PA0856,1,5,6,6,0,8,3,5,4
predicted RNA,625,659,430,418,449,375,530,407,475
PA0857,2,6,6,2,2,2,7,7,4
PA0858,13,21,14,7,5,10,14,14,6
predicted RNA,49,116,79,82,58,86,102,77,89
PA0859,1,3,0,3,2,1,4,0,1
PA0860,14,29,16,16,16,20,18,28,11
predicted RNA,144,275,218,199,123,154,155,160,175
PA0861,14,25,21,26,11,18,34,27,21
predicted RNA,365,557,411,404,321,375,537,501,455
PA0862,3,10,4,12,5,9,3,8,9
PA0863,16,45,27,26,30,30,38,38,25
PA0864,3,17,12,16,6,16,18,13,12
predicted RNA,1192,2383,1640,1734,1388,2358,2913,2567,1769
PA0865,23,36,27,37,14,38,44,51,28
PA0866,7,7,3,3,4,3,11,5,4
predicted RNA,69,181,120,113,69,124,154,152,110
predicted RNA,492,504,460,330,334,287,343,308,343
PA0867,0,3,0,4,1,1,1,2,2
PA0868,12,26,19,23,15,22,40,25,29
PA0869,17,43,36,27,31,27,34,33,22
predicted RNA,1532,2539,1561,1674,1624,2032,2558,1661,1761
PA0870,8,17,9,8,9,11,25,17,12
PA0871,10,12,11,10,7,9,17,8,8
PA0872,21,46,26,27,22,22,29,31,24
PA0873,7,15,9,15,3,4,18,9,11
