,PAO1_control,PAO1_T2.5
PA4536,57,96
PA4537,133,123
PA4538,166,150
PA4539,187,207
PA4540,42,49
PA4541,151,141
PA4541.1,166,187
PA4541.2,489,453
predicted RNA,3643,3382
PA4541.3,417,374
predicted RNA,10985,11805
PA4542,50,105
PA4543,18,18
PA4544,36,27
PA4545,20,19
PA4546,65,63
PA4547,90,94
PA4548,133,98
PA4549,33,51
PA4550,316,289
PA4551,228,221
PA4552,362,382
PA4553,837,770
PA4554,576,434
predicted RNA,5694,3679
predicted RNA,4621,3300
PA4555,261,196
predicted RNA,3925,2757
PA4556,205,182
predicted RNA,3828,2636
PA4557,183,160
PA4558,172,257
predicted RNA,3024,2436
PA4559,20,13
predicted RNA,3292,2941
PA4560,76,69
PA4561,8.6E+01,84
PA4562,55,39
PA4563,175,244
PA4564,232,251
PA4565,19,19
predicted RNA,2967,2951
predicted RNA,2365,2610
predicted RNA,2688,3315
PA4566,43,45
predicted RNA,3035,2579
predicted RNA,2347,2369
predicted RNA,4117,3367
PA4567,224,411
PA4568,143,271
PA4569,422,298
PA4570,241,114
PA4571,139,131
PA4572,573,648
predicted RNA,6502,7071
PA4573,41,58
PA4574,108,96
PA4575,241,228
PA4576,76,65
PA4577,19,43
predicted RNA,6526,7306
predicted RNA,12116,8783
PA4578,43,90
PA4579,63,59
PA4580,70,67
PA4581,15,20
predicted RNA,4508,3455
PA4581.1,7,16
PA4582,90,77
PA4583,10,4
PA4584,41,23
PA4585,53,48
PA4586,119,156
PA4587,171,224
PA4588,629,628
PA4589,175,138
PA4590,151,69
PA4591,126,90
PA4592,5,3
PA4593,4,7
PA4594,8,7
PA4595,68,63
predicted RNA,3564,3591
PA4596,36,34
PA4597,33,52
PA4598,47,41
PA4599,6,9
PA4600,59,52
PA4601,46,48
predicted RNA,2906,3478
PA4602,36,61
PA4603,4,17
PA4604,9,16
PA4605,32,21
predicted RNA,5272,4645
PA4606,61,65
predicted RNA,6231,5153
predicted RNA,213177,175669
PA4607,291,659
PA4608,340,329
PA4609,420,512
PA4610,135,176
predicted RNA,812,1310
predicted RNA,46422,42288
PA4611,115,231
PA4612,3,3
PA4613,180,156
predicted RNA,42151,25068
PA4614,81,155
PA4615,81,78
PA4616,36,25
PA4617,30,22
PA4618,16,25
PA4619,32,38
PA4620,36,51
PA4621,21,23
PA4622,24,22
PA4623,12,10
predicted RNA,72,99
PA4624,101,77
PA4625,103,87
predicted RNA,1106,915
predicted RNA,1121,920
PA4626,3,6
PA4627,56,38
PA4628,239,187
PA4629,86,48
PA4630,268,227
PA4631,79,74
PA4632,46,46
predicted RNA,1174,1167
predicted RNA,985,1075
PA4633,54,58
PA4634,463,510
PA4635,198,246
PA4635a,7,10
PA4636a,6,3
PA4636,336,327
PA4637,348,250
PA4637a,35994,35990
PA4639,319,420
predicted RNA,1565,2193
predicted RNA,4577,4056
PA4640,101,130
predicted RNA,3756,3424
predicted RNA,4850,4152
predicted RNA,5467,4705
PA4642,17,17
PA4643,42,31
PA4644,23,35
PA4645,70,78
PA4646,63,86
PA4647,280,235
predicted RNA,4325,3676
PA4648,102,101
PA4649,59,76
PA4650,139,130
PA4651,26,36
PA4652,43,54
PA4653,140,136
PA4654,78,47
PA4655,53,50
PA4656,9,8
predicted RNA,6545,4431
PA4657,13,20
PA4658,20,19
PA4659,11,18
PA4660,306,265
PA4661,110,166
PA4662,46,42
PA4663,6,10
PA4664,5,11
PA4665,6,12
PA4666,19,20
PA4667,16,23
predicted RNA,2775,2184
predicted RNA,2070,1796
PA4668,40,45
PA4669,131,134
predicted RNA,13471,12557
PA4669.1,189,239
PA4670,140,112
PA4671,120,111
PA4672,42,35
PA4673,89,103
predicted RNA,2143,1889
PA4673.1,51,79
PA4674,12,14
PA4675,99,97
PA4676,242,286
PA4677,10,13
PA4678,73,80
PA4679,16,15
PA4680,30,26
PA4681,24,33
PA4682,57,43
PA4683,102,110
predicted RNA,1766,1561
PA4684,41,30
PA4685,107,70
PA4686,40,49
PA4687,37,39
predicted RNA,1286,1136
PA4688,57,53
PA4689,48,50
PA4690,135,94
PA4690a,23,34
PA4690.1,358,151
PA4690.2,1402,1608
predicted RNA,801673,274938
PA4690.3,78,96
PA4690.4,43,251
PA4690.5,2064,2085
predicted RNA,1693624,529282
PA4691,337,260
PA4692,83,66
PA4693,199,184
predicted RNA,3414,2720
PA4694,69,77
predicted RNA,4430,3600
PA4695,71,67
PA4696,373,323
predicted RNA,6051,5040
PA4697,42,41
predicted RNA,4363,3480
PA4698,182,138
PA4699,30,35
PA4700,18,18
PA4701,84,105
predicted RNA,1974,2295
PA4702,35,49
predicted RNA,4569,4223
PA4703,9.2E+01,83
PA4704,213,177
PA4704.1,410,365
PA4704.2,186,199
PA4705,15,11
PA4706,13,6
PA4707,8,6
PA4708,15,15
PA4709,26,27
PA4710,149,165
PA4711,28,24
PA4712,238,256
PA4713,43,57
PA4714,87,83
PA4715,353,363
PA4716,9,12
PA4717,144,160
PA4718,294,283
PA4719,94,97
PA4720,85,111
PA4721,30,31
PA4722,579,672
PA4723,49,55
PA4724,25,30
PA4724.1,167,180
PA4725,86,76
PA4726,98,92
PA4726.1,704,656
PA4726.11,1270,2785
PA4726.2,1151469,667977
PA4727,26,29
PA4728,23,18
PA4729,7,9
PA4730,33,37
PA4731,166,151
PA4732,72,62
PA4733,47,40
PA4734,95,116
PA4735,196,175
PA4736,73,91
PA4737,162,201
predicted RNA,77337,62572
PA4738,345,705
PA4739,165,347
PA4740,145,129
PA4741,122,288
PA4742,79,89
PA4743,29,55
PA4744,52,87
PA4745,70,100
PA4746,21,36
PA4746.1,19,41
PA4746.2,37,91
PA4747,35,99
PA4748,16,37
PA4749,28,31
PA4750,5,14
PA4751,114,143
PA4752,96,99
PA4753,1030,861
PA4754,488,397
PA4755,623,538
PA4756,433,449
PA4757,364,254
predicted RNA,6088,5838
PA4758,96,96
PA4758.1,24,11
PA4759,53,55
predicted RNA,3601,3647
PA4760,56,71
predicted RNA,23465,23116
PA4761,96,247
PA4762,58,92
PA4763,62,73
PA4764,41,75
PA4765,576,452
predicted RNA,7148,7094
predicted RNA,2940,3028
PA4766,26,36
PA4767,122,121
predicted RNA,5796,4963
PA4768,227,230
PA4769,231,245
PA4770,427,350
PA4771,13,13
PA4772,42,32
PA4773,55,47
PA4774,58,58
PA4775,85,116
PA4776,9,20
PA4777,27,23
predicted RNA,9920,9151
PA4778,85,106
PA4779,35,33
PA4780,37,36
PA4781,37,46
PA4782,8,0
PA4783,2,3
PA4784,126,105
PA4785,21,20
PA4786,67,58
PA4787,32,44
PA4788,7,9
PA4789,33,14
PA4790,29,33
PA4791,69,127
PA4792,24,35
PA4793,314,304
PA4794,13,33
PA4795,35,34
PA4796,289,255
PA4797,695,665
predicted RNA,5871,4555
predicted RNA,4190,3988
PA4798,217,243
PA4799,116,97
PA4800,49,46
PA4801,9,15
PA4802,16,15
PA4802.1,149,101
PA4803,26,22
PA4804,50,55
PA4805,35,32
PA4806,95,103
PA4807,5,4
PA4808,11,12
PA4809,22,30
PA4810,21,17
PA4811,13,19
predicted RNA,2833,2520
PA4812,85,93
predicted RNA,2162,1917
predicted RNA,2365,2029
predicted RNA,6855,5465
PA4813,72,68
PA4814,13,16
PA4815,18,26
PA4816,6,3
PA4817,21,22
PA4818,8,3
PA4819,4,6
PA4820,54,61
PA4821,31,36
PA4822,40,47
PA4823,17,2
PA4824,2,1
PA4825,32,42
PA4826,44,37
PA4827,30,34
PA4828,186,205
PA4829,64,75
PA4830,8,13
PA4831,9,16
PA4832,31,60
PA4833,22,33
PA4834,96,95
PA4835,30,22
PA4836,1,4
PA4837,28,33
PA4838,28,21
PA4839,35,38
PA4840,35,18
PA4841,43,41
PA4842,67,52
predicted RNA,3991,3784
predicted RNA,5748,4962
predicted RNA,5916,5667
PA4843,26,48
predicted RNA,3653,3099
predicted RNA,3437,3082
PA4844,13,14
PA4845,36,29
PA4846,129,96
predicted RNA,9083,6196
PA4847,30,65
predicted RNA,7826,6514
PA4848,57,87
PA4849,28,24
PA4850,40,61
PA4851,52,50
PA4852,21,34
predicted RNA,3400,3887
PA4853,42,56
predicted RNA,2333,2495
PA4854,27,38
predicted RNA,1586,1599
predicted RNA,1510,1757
predicted RNA,1184,1274
PA4855,19,23
PA4856,19,21
PA4857,21,22
PA4858,125,85
PA4859,10,6
PA4860,25,18
PA4861,10,10
PA4862,7,16
PA4863,52,53
PA4864,2,1
PA4865,0,7
PA4866,16,8
PA4867,19,23
PA4868,98,107
PA4869,290,247
PA4870,233,224
PA4871,12,26
PA4872,115,125
PA4873,768,855
PA4874,33,71
PA4876,410,444
PA4877,465,692
PA4878,269,255
PA4879,9.6E+01,108
predicted RNA,10591,8799
PA4880,267,239
predicted RNA,28,34
PA4881,99,109
PA4882,3,8
PA4883,7,3
PA4884,11,6
PA4885,2,9
PA4886,20,30
PA4887,46,39
PA4888,31,31
PA4889,1,5
PA4890,4,10
PA4891,3,2
PA4892,6,16
PA4893,14,18
PA4894,0,2
PA4895,3,12
PA4896,1,6
PA4897,88,81
PA4898,15,12
PA4899,8,10
PA4900,1,2
PA4901,3,4
PA4902,7,13
PA4903,2,4
PA4904,31,22
PA4905,23,28
PA4906,21,18
PA4907,81,76
predicted RNA,765,896
PA4908,0,0
PA4909,11,32
PA4910,14,20
PA4911,9,10
PA4912,113,101
PA4913,43,51
predicted RNA,6710,4381
PA4914,75,70
PA4915,336,327
PA4916,762,973
predicted RNA,4263,3684
PA4917,11,20
predicted RNA,2820,3497
predicted RNA,1336,738
PA4918,25,23
PA4919,89,67
PA4920,40,39
PA4921,82,103
predicted RNA,64413,60436
PA4922,101,325
PA4923,176,119
PA4924,70,90
PA4925,79,68
PA4926,20,29
PA4927,10,14
PA4928,82,66
PA4929,45,45
PA4930,296,313
PA4931,330,308
PA4932,35,98
PA4933,10,29
PA4934,103,202
PA4935,93,193
PA4936,16,16
PA4937,21,28
predicted RNA,6931,5633
PA4937.1,1682,1206
PA4937.2,332,174
PA4938,75,76
PA4939,26,49
PA4940,11,17
PA4941,128,152
PA4942,93,96
PA4943,24,54
PA4944,76,308
PA4945,184,147
PA4946,27,33
PA4947,42,52
PA4948,296,186
PA4949,8,10
PA4950,371,320
PA4951,193,176
PA4952,1026,896
PA4953,133,108
PA4954,41,58
predicted RNA,4099,3196
PA4955,13,24
PA4956,25,17
PA4957,44,59
PA4958,30,38
PA4959,91,103
PA4960,110,106
PA4961,91,78
PA4962,44,30
PA4963,20,12
predicted RNA,5221,3907
PA4964,67,52
predicted RNA,3720,2758
predicted RNA,1372,831
predicted RNA,1277,1076
predicted RNA,1433,1233
PA4965,11,16
PA4966,0,4
PA4967,21,28
predicted RNA,966,966
predicted RNA,905,949
predicted RNA,1029,1028
PA4968,148,157
PA4969,30,34
PA4970,123,126
PA4971,17,17
predicted RNA,3548,3486
PA4972,131,156
PA4973,132,111
PA4974,335,402
PA4975,175,150
PA4976,13,15
PA4977,9,14
PA4978,2,1
PA4979,38,37
PA4980,1,2
PA4981,47,33
PA4982,5,11
PA4983,20,26
PA4984,1,2
PA4985,2,2
PA4986,32,45
PA4987,148,164
PA4988,9,15
PA4989,8,4
PA4990,178,185
PA4991,37,34
PA4992,30,35
PA4993,29,34
PA4994,71,64
PA4995,22,21
PA4996,16,17
predicted RNA,3647,3643
PA4997,75,56
PA4998,194,164
PA4999,766,543
PA5000,219,211
PA5001,163,148
PA5002,53,47
PA5003,50,63
PA5004,12,13
predicted RNA,3746,3837
predicted RNA,4695,4053
PA5005,197,168
predicted RNA,3702,2996
PA5006,15,22
PA5007,10,11
PA5008,14,12
PA5009,40,57
PA5010,29,25
PA5011,25,25
PA5012,5,18
predicted RNA,9077,7371
PA5013,273,220
PA5014,23,27
predicted RNA,5931,5928
PA5015,115,134
PA5016,75,83
predicted RNA,5429,5620
PA5017,112,107
PA5018,464,451
PA5019,237,282
PA5020,274,277
PA5021,26,14
PA5022,83,71
PA5023,90,86
PA5024,140,127
PA5025,55,49
predicted RNA,899,762
PA5026,83,47
PA5027,119,153
PA5028,1661,2157
predicted RNA,3575,3467
predicted RNA,3578,3837
PA5029,36,45
PA5030,23,21
PA5031,85,120
PA5032,24,25
PA5033,61,71
PA5034,81,60
PA5035,62,47
PA5036,49,36
predicted RNA,6438,4623
PA5037,272,224
predicted RNA,5164,4287
PA5038,76,58
PA5039,82,88
PA5040,161,172
PA5041,25,33
PA5042,69,67
PA5043,105,106
PA5044,112,140
PA5045,1429,978
PA5046,68,70
predicted RNA,4316,3815
PA5047,49,57
PA5048,2,7
predicted RNA,3593,3879
predicted RNA,25943,25650
PA5049,81,225
PA5050,32,41
predicted RNA,3191,3736
PA5051,37,48
predicted RNA,2214,2844
predicted RNA,2178,2374
PA5052,76,78
PA5053,45,74
predicted RNA,4419,4272
PA5054,67,70
predicted RNA,2315,3223
predicted RNA,3141,3597
PA5055,103,92
PA5056,151,142
PA5057,110,107
PA5058,212,189
PA5059,186,167
PA5060,211,247
predicted RNA,29331,22480
PA5061,43,105
PA5062,53,76
PA5063,42,52
predicted RNA,4296,4087
PA5064,8,10
PA5065,41,43
PA5066,133,141
predicted RNA,4851,3840
PA5067,570,418
PA5068,57,63
PA5069,31,31
PA5070,162,97
PA5071,11,7
PA5072,13,15
PA5073,64,93
PA5074,115,137
PA5075,35,43
PA5076,75,84
PA5077,15,26
predicted RNA,2525,2215
predicted RNA,2709,2536
PA5078,46,31
predicted RNA,3110,3128
PA5079,64,50
PA5080,63,76
PA5081,65,25
predicted RNA,188,90
PA5082,77,61
PA5083,92,62
PA5084,8,14
PA5085,133,119
PA5087,334,226
PA5088,74,43
PA5089,72,59
PA5090,13,19
PA5091,33,38
PA5092,21,24
PA5093,16,19
PA5094,12,20
PA5095,28,32
PA5096,21,27
PA5097,26,36
PA5098,30,21
PA5099,76,42
PA5100,47,38
PA5101,26,51
PA5102,29,20
PA5103,29,45
PA5104,21,43
PA5105,13,18
PA5106,53,51
PA5107,55,69
predicted RNA,5745,4961
PA5108,15,48
predicted RNA,7136,6061
PA5109,55,69
PA5110,60,52
predicted RNA,3966,3714
PA5111,12,32
predicted RNA,3254,2598
PA5112,233,254
predicted RNA,1779,1207
predicted RNA,2096,1628
predicted RNA,2625,2384
PA5113,10,12
PA5114,6,6
PA5115,7,6
PA5116,10,17
PA5117,68,89
predicted RNA,2050,1804
predicted RNA,2277,1782
predicted RNA,2285,2033
predicted RNA,2616,2144
PA5118,46,51
predicted RNA,16362,10712
PA5119,237,248
PA5120,71,63
PA5121,23,23
PA5122,144,171
PA5123,85,85
PA5124,109,123
PA5125,122,124
PA5126,12,5
PA5127,117,108
PA5128,98,124
PA5129,66,40
PA5130,34,37
PA5131,35,41
PA5132,23,23
PA5133,18,22
PA5134,27,32
predicted RNA,1786,1797
PA5135,7,16
PA5136,38,36
PA5137,72,54
PA5138,48,33
PA5139,64,62
PA5140,31,28
PA5141,35,33
PA5142,16,18
PA5143,44,64
predicted RNA,3240,3110
PA5144,1,1
PA5145,36,46
PA5146,52,66
PA5147,38,40
PA5148,56,83
predicted RNA,2561,2493
PA5149,17,35
PA5149.1,337,232
PA5150,68,54
PA5151,37,29
PA5152,336,322
PA5153,155,117
PA5154,20,28
PA5155,17,25
PA5156,41,38
PA5157,45,33
PA5158,38,55
PA5159,81,79
PA5160,182,133
PA5160.1,181,95
PA5161,77,81
PA5162,18,33
PA5163,39,46
PA5164,15,45
PA5165,23,23
PA5166,43,54
PA5167,89,56
PA5168,125,89
PA5169,88,88
predicted RNA,6344,5406
predicted RNA,1641,1136
predicted RNA,1628,873
predicted RNA,5102,5942
predicted RNA,6140,6368
predicted RNA,2916,1810
predicted RNA,2685,1380
predicted RNA,2226,995
predicted RNA,32547,30329
PA5170,77,130
PA5171,87,203
PA5172,142,258
PA5173,176,233
predicted RNA,6611,4358
PA5174,61,79
predicted RNA,5367,3988
predicted RNA,4601,3509
PA5175,65,71
PA5176,10,19
predicted RNA,4324,3547
PA5177,944,895
PA5178,239,308
PA5179,51,63
PA5180,81,113
PA5181,74,71
PA5181.1,533,441
PA5182,25,24
PA5183,160,164
PA5183a,19,18
predicted RNA,8077,7220
PA5184,101,133
PA5185,239,265
PA5186,130,131
PA5187,23,22
PA5188,15,11
PA5189,179,169
PA5190,21,25
PA5191,10,19
PA5192,155,106
predicted RNA,2466,2354
PA5193,85,96
PA5194,157,143
PA5195,29,43
PA5196,35,30
PA5197,46,47
PA5198,76,86
PA5199,81,79
PA5200,26,26
predicted RNA,5015,4444
PA5201,71,68
predicted RNA,924,981
PA5202,117,86
PA5203,204,236
PA5204,52,53
PA5205,322,232
PA5206,39,58
PA5207,14,18
PA5208,394,372
predicted RNA,5204,5301
PA5209,26,30
PA5210,116,131
predicted RNA,3471,5225
predicted RNA,4875,5044
PA5211,1.54E+02,149
PA5212,511,504
predicted RNA,4197,4617
PA5213,155,206
predicted RNA,4683,3882
PA5214,51,68
PA5215,20,16
PA5216,30,30
PA5217,69,54
predicted RNA,1055,1206
PA5218,2.5E+01,26
PA5219,1.64E+02,151
PA5220,178,182
predicted RNA,4930,3773
PA5221,180,223
PA5222,101,85
PA5223,19,30
predicted RNA,3191,3647
PA5224,314,289
predicted RNA,2742,3038
predicted RNA,3946,4318
predicted RNA,3690,3484
PA5225,16,25
PA5226,130,113
predicted RNA,4389,3466
PA5227,61,74
PA5227.1,96,73
predicted RNA,5965,4634
PA5228,608,592
PA5229,2915,2908
PA5230,142,140
PA5231,35,43
predicted RNA,3271,3609
predicted RNA,4563,4869
PA5232,113,130
predicted RNA,4200,5335
PA5233,317,377
PA5234,57,52
PA5235,106,104
PA5236,22,26
PA5237,28,25
predicted RNA,2162,1903
PA5238,50,50
PA5239,171,169
predicted RNA,9178,7313
PA5240,136,198
PA5241,973,840
PA5242,150,141
PA5243,151,185
PA5244,175,147
predicted RNA,6815,6114
PA5245,81,93
PA5246,245,311
PA5247,15,24
PA5248,22,36
PA5249,185,145
PA5250,288,257
PA5251,165,161
PA5252,32,30
PA5252a,1260,1506
PA5253,87,107
predicted RNA,24663,20890
PA5254,169,184
PA5255,80,102
predicted RNA,9561,8401
PA5256,49,54
PA5257,20,20
predicted RNA,3627,3568
PA5258,20,19
PA5259,16,16
PA5260,36,45
predicted RNA,2376,2599
predicted RNA,4606,4015
PA5261,24,64
predicted RNA,11914,11154
PA5262,41,41
PA5263,263,241
PA5264,372,283
PA5265,161,169
PA5266,58,58
PA5267,90,94
predicted RNA,3086,1394
predicted RNA,2848,1427
PA5268,50,40
PA5269,26,40
PA5270,50,46
predicted RNA,5266,4989
PA5271,52,79
PA5272,42,57
PA5273,47,63
PA5274,177,105
predicted RNA,2861,2652
PA5275,7,23
PA5276,47,46
predicted RNA,5021,5328
PA5277,21,28
PA5278,48,61
predicted RNA,2617,2597
PA5279,36,24
predicted RNA,3732,3841
PA5280,8,12
PA5281,45,35
PA5282,27,37
PA5283,123,120
PA5284,103,81
predicted RNA,8263,8032
PA5285,222,209
PA5286,11,13
PA5287,67,62
predicted RNA,33734,26394
PA5288,199,308
PA5289,24,44
PA5290,138,141
PA5291,92,93
PA5292,257,197
PA5293,14,10
PA5294,101,103
PA5295,19,15
PA5296,48,48
PA5297,94,94
PA5298,557,454
PA5299,100,94
PA5300,29,39
predicted RNA,5543,5670
PA5301,79,75
predicted RNA,9916,7834
PA5302,76,58
PA5303,26,62
predicted RNA,5228,4661
PA5304,21,30
PA5305,41,55
predicted RNA,3982,3398
PA5306,26,33
PA5307,24,30
PA5308,516,430
PA5309,23,37
PA5310,66,62
PA5311,68,54
predicted RNA,4585,4406
PA5312,22,19
PA5313,53,60
PA5314,137,108
PA5315,111,160
PA5316,256,227
PA5316.1,23030,20041
PA5317,87,74
PA5318,204,232
PA5319,56,70
PA5320,18,15
PA5321,14,18
PA5322,81,89
predicted RNA,2611,2433
predicted RNA,3251,2657
PA5323,63,61
PA5324,144,123
PA5325,118,101
PA5326,11,13
PA5327,127,114
PA5328,9,17
PA5329,362,277
PA5330,230,235
predicted RNA,5396,4992
PA5331,50,52
predicted RNA,4144,3934
PA5332,216,201
predicted RNA,6218,5437
PA5333,250,207
PA5334,44,67
PA5335,107,97
PA5336,99,103
predicted RNA,11028,10848
PA5337,31,90
PA5338,58,62
predicted RNA,4756,4014
predicted RNA,4336,3708
predicted RNA,11833,8187
PA5339,21,46
PA5340,17,19
PA5341,59,76
PA5342,8,10
PA5343,4,2
PA5344,89,98
predicted RNA,2607,2632
PA5345,73,82
PA5346,67,77
PA5347,1067,832
PA5348,196,226
predicted RNA,15768,11553
PA5349,57,47
PA5350,7,5
PA5351,9,18
predicted RNA,2460,1834
PA5352,5,15
PA5353,1,5
PA5354,4,4
PA5355,19,28
predicted RNA,4445,1837
PA5356,80,133
PA5357,288,309
PA5358,2882,2476
PA5359,250,301
PA5360,58,44
PA5361,123,108
PA5362,202,179
PA5363,258,216
predicted RNA,3977,4042
PA5364,59,65
predicted RNA,5292,4384
PA5365,41,46
PA5366,79,86
PA5367,11,14
PA5368,35,45
PA5369,119,116
PA5369.1,313,126
PA5369.2,1402,1608
predicted RNA,801673,274938
PA5369.3,78,96
PA5369.4,43,251
PA5369.5,2064,2085
predicted RNA,1698790,532305
PA5370,120,94
PA5371,92,58
predicted RNA,5114,4326
PA5372,177,204
predicted RNA,6186,4189
PA5373,135,140
PA5374,2,30
PA5375,44,28
PA5376,10,15
PA5377,47,44
PA5378,40,37
predicted RNA,2937,2251
PA5379,13,20
PA5380,167,156
PA5381,45,56
PA5382,4,7
PA5383,21,14
PA5384,0,2
PA5385,7,3
PA5386,3,6
PA5387,2,5
PA5388,35,23
PA5389,14,17
PA5390,19,16
PA5391,1,4
PA5392,54,34
PA5393,8,13
PA5394,10,9
PA5395,7,22
PA5396,147,124
PA5397,46,31
PA5398,38,36
PA5399,17,23
PA5400,12,7
PA5401,18,26
PA5402,239,213
PA5403,189,106
PA5404,197,161
PA5405,380,264
PA5406,290,258
PA5407,422,488
PA5408,21,29
PA5409,7,22
PA5410,45,35
predicted RNA,199,187
predicted RNA,233,180
predicted RNA,223,155
predicted RNA,427,262
PA5411,94,78
PA5412,7,7
PA5413,115,94
PA5414,67,56
PA5415,90,102
PA5416,41,33
PA5417,23,14
PA5418,21,24
PA5419,19,16
PA5420,63,56
PA5421,43,46
predicted RNA,438,294
predicted RNA,444,429
PA5422,138,162
PA5423,271,255
predicted RNA,31411,26239
PA5424,111,156
PA5425,28,29
PA5426,38,26
PA5427,103,165
PA5428,991,1653
PA5429,84,79
predicted RNA,9572,8786
PA5430,24,15
PA5431,5,11
PA5432,25,31
PA5433,42,65
PA5434,24,36
predicted RNA,3641,3277
PA5435,48,52
PA5436,16,22
predicted RNA,1052,1217
PA5437,103,85
PA5440a,36,68
PA5438,38,29
predicted RNA,6342,5873
PA5439,12,12
PA5440,85,80
predicted RNA,299,407
predicted RNA,310,419
PA5441,13,9
predicted RNA,1242,916
PA5442,12,11
PA5443,19,18
predicted RNA,4347,3877
PA5444,105,57
PA5445,258,159
predicted RNA,1836,2076
PA5446,431,993
PA5447,1535,1694
PA5448,80,55
PA5449,39,32
PA5450,250,252
PA5451,87,70
PA5452,35,44
PA5453,68,68
PA5454,66,63
PA5455,38,41
PA5456,24,18
PA5457,22,27
PA5458,108,89
PA5459,52,61
predicted RNA,2890,3338
PA5460,60,19
predicted RNA,7648,6931
PA5461,62,67
PA5462,41,86
PA5463,31,17
PA5464,55,58
PA5465,91,80
PA5466,29,16
PA5467,49,32
PA5468,213,204
PA5469,162,117
PA5470,7,9
PA5471,32,25
PA5472,32,59
PA5473,99,101
PA5474,2741,3619
PA5475,239,295
PA5476,157,128
PA5477,155,135
PA5478,79,61
PA5479,267,216
predicted RNA,9602,9456
PA5481,20,32
PA5482,30,34
PA5483,31,34
PA5484,66,90
PA5485,374,379
PA5486,192,173
PA5487,45,46
PA5488,17,22
predicted RNA,4001,3830
predicted RNA,9230,7563
PA5489,63,101
PA5490,62,99
predicted RNA,5622,6474
PA5491,138,155
PA5492,308,321
predicted RNA,5520,4298
PA5493,94,93
predicted RNA,12336,11523
PA5494,172,246
PA5495,267,319
predicted RNA,1080,1435
predicted RNA,1841,1624
PA5496,27,46
PA5497,39,49
PA5498,16,16
PA5499,119,208
PA5500,148,178
PA5501,219,278
PA5502,96,100
PA5503,38,51
PA5504,45,55
predicted RNA,3432,2878
PA5505,37,48
PA5506,46,52
predicted RNA,106,157
PA5507,45,52
PA5508,17,38
PA5509,164,190
PA5510,108,104
PA5511,16,24
PA5512,7,13
PA5513,14,9
PA5514,165,132
PA5515,36,20
PA5516,337,301
PA5517,125,93
PA5518,15,16
PA5519,448,376
PA5520,397,359
PA5521,353,310
PA5522,9,19
PA5523,24,25
PA5524,35,52
PA5525,1215,1080
PA5526,165,233
predicted RNA,6034,5810
PA5527,44,63
predicted RNA,5473,4881
PA5528,89,91
predicted RNA,2326,2784
PA5529,159,136
PA5530,76,51
PA5531,47,40
PA5533,876,848
PA5534,47,33
PA5535,15,11
PA5536,30,52
PA5537,5,9
PA5538,51,60
PA5539,37,41
PA5540,85,88
PA5541,238,203
PA5542,3,13
PA5543,12,32
PA5544,154,116
PA5545,37,27
PA5546,138,127
PA5547,452,407
PA5548,261,254
PA5549,72,57
PA5550,193,158
PA5551,623,550
PA5552,26,25
PA5553,325,407
PA5554,201,218
PA5555,124,159
PA5556,69,110
PA5557,114,156
PA5558,101,149
PA5559,281,208
PA5560,357,316
PA5561,377,267
PA5562,50,65
PA5563,51,33
PA5564,159,162
PA5565,58,54
PA5566,270,293
PA5567,39,40
PA5568,96,79
PA5569,215,181
PA5570,43,168
