Description,WT1,WT2,WT3,WT4,Mutant1,Mutant2,Mutant3,Mutant4
SSA_1198,1674,2481,1882,1072,1898,1687,1507,2236
SSA_0647,5803,9410,5542,4244,7515,5872,5076,7574
lspA,5435,7964,4386,3592,6375,5112,4997,5375
SSA_0401,15202,27067,17902,9458,20854,16664,12902,20656
mmuM,2344,3874,2421,1382,3357,2434,2062,2930
SSA_1119,3232,5600,3363,2344,4592,3734,3209,4224
SSA_1355,3840,5728,3869,2516,4705,4818,3765,4140
recF,32032,59761,51377,26283,42706,49166,34351,44905
infC,8394,14984,8776,6628,12154,10112,9024,11053
SSA_0180,800,1254,649,681,1060,880,930,969
SSA_0012,29166,47519,33743,20984,35387,35569,29581,33894
hrcA,112283,201896,118679,64752,153327,105388,98836,143579
deaD,20126,36444,22647,14057,30034,24706,20268,24977
pyrP,7087,11146,7283,3864,9340,6211,5862,8546
SSA_1053,9532,17644,13177,5580,15154,11023,9418,13579
SSA_1316,1376,2114,1346,1077,1715,1723,1164,2100
SSA_1813,34564,59704,46075,24609,42122,48010,33187,43834
cbiO,15735,27702,15950,10443,21842,17000,16444,19278
SSA_0273,9844,19082,15324,5887,15631,11819,9305,17708
SSA_1535,908,1635,1076,600,1330,1146,826,1242
accC,188203,247202,154063,96297,176801,145623,148954,225725
gcp,41817,63076,43418,20364,56576,38825,32700,54988
coiA,142,270,190,80,223,185,171,154
SSA_1248,20385,38840,29761,15975,25979,33609,20770,34775
SSA_2214,24606,39530,25237,15874,30422,25483,23896,28070
rpsM,67106,94488,51309,43804,76346,57466,64614,63193
SSA_0864,25292,48429,32264,17369,38745,31014,26425,35008
hutU,19005,66271,52339,17469,38061,33895,20385,51691
SSA_1067,6272,9745,5677,4127,7750,6654,5806,7885
dnaD,27480,47547,29788,15744,41111,26976,26233,34343
SSA_2249,3080,6977,4326,2543,4604,5369,3174,5104
SSA_2327,4023,6495,4126,2479,5785,4247,3338,5222
SSA_1817,109658,186866,150896,81937,124400,160069,103519,149500
SSA_0160,311,473,280,248,351,368,311,447
SSA_2118,24669,41683,23339,15465,30424,23699,23528,29176
folK,29586,48308,31819,16082,39114,29710,25851,39752
fabZ,48481,65555,41162,27080,48727,45086,43819,61487
SSA_0537,597,1031,740,358,920,665,563,792
SSA_0874,18847,32840,17702,13994,23798,20874,18776,21745
pulA,21301,50928,31968,17500,38113,28867,23111,31817
scpA,22736,36631,24385,13710,29612,24593,20824,28966
SSA_2030,10,18,21,6,20,18,10,18
SSA_0464,13621,26467,18495,8533,21681,17309,13789,18394
SSA_1145,158,286,221,141,216,246,144,217
SSA_1239,13355,24623,14542,10871,17705,16191,14220,16926
pheA,20621,33985,21219,12618,27015,22563,19306,25169
cspR,741,1010,505,542,971,657,588,1033
pkn,111491,204901,127938,73723,171484,123922,114500,141344
SSA_2106,1032,1546,1168,434,1507,870,736,1491
rpsG,43703,67057,41031,26561,62365,39077,40674,52215
SSA_2273,6544,10052,7137,5044,7329,8664,6353,7280
recR,7797,12359,8362,4525,11355,7732,6190,8768
SSA_1374,14136,22690,15005,8377,18685,14347,12593,19006
SSA_0925,5909,9553,5820,3435,7882,5589,5248,6538
SSA_0239,906,1222,790,497,949,887,758,1140
aroH,420,779,441,323,615,545,378,609
mnmA,12918,21329,11611,8434,18515,12727,12825,14677
SSA_0055,18816,42393,26673,14348,29461,26743,17945,36096
licD1,32425,46973,29894,20775,34182,34535,30917,33286
cylA,167,327,234,93,299,181,166,243
SSA_1011,2537,4068,2634,1571,2936,2787,2114,3288
SSA_1854,44381,79541,54105,30296,66001,54615,44883,56769
SSA_0926,3247,5538,3307,2058,4490,3177,3056,3764
tuf,968710,1782475,1109621,627537,1595320,1038388,970105,1196461
SSA_1995,12197,22229,12586,8483,17229,13721,12240,16002
ntpK,24091,33376,21826,12742,26812,23374,20221,28845
SSA_0142,2334,3364,2453,1363,2897,2659,1963,2792
SSA_1587,5267,8463,5436,2878,7146,4673,4101,6679
SSA_0892,187,263,204,128,253,193,172,189
SSA_1545,8943,13493,7778,5593,10716,9067,8123,8814
czcD,6731,13900,9056,4814,9696,9203,6412,9546
SSA_0398,2995,5080,3520,1962,4118,3514,2961,3869
SSA_2179,23004,35243,23968,13839,27815,23608,20799,27115
SSA_1989,3198,5158,2964,2079,4040,3087,2821,3928
SSA_0256,7033,12843,8617,4997,10607,8276,6409,9422
adhE,1577651,2878834,1858704,1030782,2326806,1663702,1509882,2033809
SSA_0517,84223,206416,139276,72847,160239,132313,104649,138395
SSA_2086,393,689,510,241,574,465,354,587
SSA_1281,7218,12265,7726,5278,9278,8926,7736,9000
hisC,2940,4303,3279,1415,3654,2668,2236,3625
SSA_1962,5077,8582,5864,3200,7283,5350,4772,5996
pgk,293192,562310,311807,200934,428163,301796,290470,373295
acp,8003,14180,8177,5892,10153,8915,8502,9471
sodA,72656,150659,86430,54102,118985,82392,71719,98359
ptsH,133449,259810,161087,98390,177199,189805,120695,176015
SSA_1203,3233,5770,3339,2405,4393,3350,3510,3839
rpoD,40774,66102,42878,22408,56351,37764,36549,44520
SSA_1312,5075,8304,6579,3593,6132,6774,4797,6547
SSA_0663,869,1390,1028,523,1165,913,700,1164
ispA,14325,22057,13021,8450,18097,13696,12860,17448
SSA_1460,45319,71827,47109,25470,60774,42291,38619,53587
SSA_1311,3059,4743,3149,2020,3821,3382,2684,3649
SSA_2242,2964,4838,2801,2072,4136,2621,2534,3966
SSA_0382,3576,7804,6640,2772,6342,6037,3647,6533
hlyA,17882,25844,16403,9255,23036,15847,15077,20666
SSA_1771,807,1189,853,433,1202,673,660,1070
SSA_1881,4119,6207,3421,2965,5145,3784,3906,4599
SSA_1358,2615,4673,3004,1782,3434,3145,2452,3394
SSA_1876,1266,2386,1358,1072,1883,1608,1405,1712
SSA_2344,105,203,143,75,140,182,100,150
SSA_1346,4838,6542,3899,3292,5461,4460,4280,5317
SSA_0072,91328,251711,188299,83608,175800,176851,105313,202932
SSA_1227,36476,58313,43443,20303,51411,37155,32924,48172
SSA_2212,33461,55748,33686,25948,40348,44340,36340,40655
cpbA,577653,1061910,653611,396681,802766,642979,558147,769594
SSA_2351,4939,9130,6195,3110,7447,5464,4801,6074
SSA_1084,7966,10641,6744,5073,9859,6786,7012,10191
rpsP,5932,8828,5825,3756,7755,5742,4810,7314
SSA_1479,271,581,422,221,439,438,327,398
SSA_0281,4311,7243,3636,4052,4825,5967,4798,4131
SSA_0594,1696,2953,1757,1243,2415,1853,1500,2220
pepV,86381,154932,96143,57368,119922,92762,82472,112179
SSA_1349,3040,5394,3879,2013,4631,3322,2815,4041
ptcA,234,442,293,163,341,297,229,350
ilvE,14986,23669,14454,9069,20769,14344,13137,18721
SSA_1657,878,1443,925,725,1204,983,923,1041
adcA,14917,23210,15082,8551,18648,14993,13527,16236
SSA_0672,3801,5219,3773,2262,4530,3657,2978,4682
SSA_0294,1349,2487,1631,1148,1903,2000,1417,1890
SSA_1382,124,190,101,90,127,172,116,143
SSA_1833,10398,23014,16505,9648,17779,16501,11372,15502
SSA_0283,363,764,716,233,547,644,362,680
ptsI,743909,1476234,864002,489790,1144096,782380,724727,978242
thrB,17542,27070,16674,10489,24061,17143,16227,19562
SSA_1089,1001,1497,891,759,991,1180,1016,1079
SSA_1961,5007,8203,5813,3068,6983,5509,4694,6352
uncF,115183,158121,104306,59913,144736,103913,99533,122518
rbfA,7412,13092,8498,4804,9553,8832,6547,9862
dps,204404,475901,299032,172928,339211,289512,231741,306186
livF,14590,24591,15010,8918,19481,15352,14668,17119
asnC,23531,34346,21798,13190,32236,20309,20635,27254
SSA_2347,36622,62903,40875,22594,50629,39439,34383,43033
snf,84280,133532,85126,50355,107871,83847,73856,101057
uvrC,15816,30926,20085,11738,22131,19804,16066,22718
metA,30106,51726,33383,19860,42768,33275,29618,37815
SSA_1354,4166,6176,3914,2480,4521,4496,3727,4456
SSA_0604,3411,5756,3427,2376,4419,4058,3661,3834
SSA_0646,1502,2413,1563,1210,1808,1866,1374,1991
SSA_1912,33,57,15,26,43,33,30,43
livG,15812,22201,13610,8329,18536,13651,13305,16270
SSA_1496,6400,12565,8357,5250,8459,10184,6884,7476
metB,14112,25383,16212,9831,19868,16640,14102,18932
copA,96259,187566,109234,76192,140098,128763,111583,118552
flaR,2979,6041,4043,2641,4198,4461,3318,4167
SSA_0081,5209,11450,9127,3988,9547,7881,5550,8903
murD,19250,28661,17063,10885,24815,16005,16260,21539
SSA_1087,20294,29637,20252,11695,23677,19923,18502,22607
SSA_1247,23022,44421,36692,18448,30341,39683,24532,37740
SSA_1350,4041,5830,4069,2152,4652,4317,3359,4852
SSA_1867,7793,12821,7506,5068,10656,7632,7250,8873
SSA_2139,5937,9291,5090,3936,8228,5290,5157,7901
gltX,73978,129340,84650,42591,112644,76703,68669,91434
SSA_2255,1623,3424,1999,1365,2190,2452,1921,2355
gatA,51144,78841,44464,28971,65205,45267,42181,57702
SSA_0143,8813,14986,8763,5298,12380,8436,7211,11139
pflA,31875,63366,38796,22565,50604,36971,32240,40495
SSA_0934,12780,20966,15620,9310,15132,16710,12372,16714
SSA_2035,12961,19556,13630,6624,17286,11718,10410,17233
SSA_2218,30247,41831,27707,17685,30494,30521,26913,33603
SSA_2276,3177,4789,3542,2096,3620,3739,3112,3603
SSA_0198,37077,59889,41765,20207,50598,37330,32034,48940
pduO,136,260,213,76,236,158,142,197
ftsE,24506,43941,26541,16712,37387,26800,24888,29679
dltC,12690,17417,11778,6587,14350,12698,10257,12746
SSA_1101,53734,86698,66172,38538,61672,71868,51846,68541
scrB,6467,13765,9120,4572,10736,8599,6851,9461
SSA_0257,98687,156372,102259,55315,129190,94979,85809,115950
tex,33584,55478,34828,19009,45860,30576,28578,42240
SSA_0276,5209,7737,4971,2979,7147,4534,4321,6641
SSA_1129,7762,14588,10257,6330,11561,11065,8632,10539
SSA_1769,6566,9956,7884,3345,9578,6068,5177,7824
SSA_0402,15852,27902,18315,9489,22632,16907,15471,20196
SSA_0535,213,384,255,124,330,230,191,241
SSA_1493,1642,2624,1483,1134,1980,1684,1566,1923
proB,4953,6199,3863,2820,5915,4195,3696,5959
pmrB,10384,14986,8642,6803,11071,10840,9433,11128
SSA_0995,5314,8864,6064,3870,6625,7419,5417,6401
SSA_1905,5996,9558,5716,3677,8124,5298,5115,7485
fabF,99527,125050,83907,49072,105556,82407,79976,118884
SSA_0597,1715,3038,1729,1356,2500,2012,1743,2225
SSA_0078,6362,20937,21772,5899,14155,16159,6672,23949
SSA_2431,2769,4018,3299,1031,2218,2650,3081,2628
SSA_1130,6569,10520,7572,3711,8749,6668,5766,8128
phpA,3186,5044,3669,1817,4213,3435,2925,3967
glpK,1340,2560,1908,963,2288,1735,1413,1787
SSA_1890,16210,29441,18700,11200,21434,18788,16688,22874
pyrG,26494,34737,20471,12585,32093,19656,19706,26314
def,10322,16824,11155,5811,15144,9015,8459,13083
yfkN,15107,23972,16669,8599,22804,14312,13328,18490
SSA_0278,8545,14517,9365,5968,11306,10313,8436,10843
SSA_0659,41700,66633,39873,28375,51995,43191,43045,44073
SSA_0792,2860,4188,2392,1770,3425,2644,2755,3234
SSA_0917,760,1226,895,409,1113,822,666,899
SSA_0993,2405,3648,2045,1697,2706,2532,2366,2570
SSA_0940,24747,44024,26605,14854,34193,24814,22750,31305
SSA_2219,29178,38910,23805,16914,28107,26833,26106,31777
xerD,22559,37871,24655,14290,28322,25891,21846,26175
hflX,24398,42670,28256,14026,36655,24523,21887,32640
SSA_0515,24461,46130,31694,16657,37786,31108,23703,33251
SSA_0924,6033,8580,5033,3646,7113,5730,5197,6306
SSA_2451,1668,2382,1143,1117,1614,1471,1866,1450
rpoC,509128,812646,497705,268565,702145,423155,426445,594292
SSA_1651,1553,2737,1913,1034,2038,1964,1546,2107
SSA_2022,953,1794,1285,721,1146,1410,960,1348
rgpC,13314,20489,12364,9125,15395,14456,12769,15035
nisK,2492,3927,2548,1581,3486,2553,2393,2842
trxA2,4204,6750,3618,2895,5617,3580,3750,5408
SSA_2330,7203,12511,9322,3949,11618,7224,6378,9863
SSA_0229,2896,6783,5182,3852,4920,6367,3899,4405
cbiO,13770,23016,14219,9287,18284,15012,13692,15510
SSA_1656,2363,4623,2923,1788,3478,3086,2628,3143
pduB,153,297,235,99,231,215,115,241
ptcB,3317,7685,5672,2228,5332,4635,2988,6067
uvrA,67105,110263,72554,34867,102061,63032,55547,81592
SSA_1752,27926,69592,47926,19504,45709,39049,29926,49352
infB,126103,193744,132024,67614,162166,116088,101793,159179
SSA_0043,4610,10410,7625,3846,7326,7710,5974,6735
SSA_1357,5942,11208,6034,4794,8077,7836,6316,7642
SSA_1661,34,48,39,15,32,49,24,43
ezrA,100179,187110,106661,74803,140596,114235,108897,118907
dltD,81538,135655,88565,45001,112978,82884,72802,100069
cshA,4204,7006,4604,2595,6634,3850,3536,5236
accD,114412,161728,99228,68067,118054,104358,105693,132662
pheT,59403,90571,57397,30742,76565,52454,49474,67224
fabD,45207,53857,34613,22097,45837,36453,36467,49605
estA,18241,30961,18966,11099,24839,18773,16657,21738
mvaK1,17287,30320,19841,9626,24422,17203,14084,23555
SSA_0481,17818,28084,20553,8973,23246,16510,14597,23209
SSA_1068,8792,13776,8207,5871,11384,8327,8186,10599
cutC,4202,6436,4325,2299,5166,4134,3356,5299
nusA,19136,28582,18189,10700,23781,16651,16789,22436
SSA_1972,2053,3580,2199,1214,3195,1945,1904,2536
SSA_0301,58819,140932,98466,49476,83113,124219,64169,92397
SSA_1676,928,1567,1074,647,1419,940,805,1287
SSA_2315,21323,45492,33771,15016,31119,33370,22860,28884
SSA_0011,2435,4373,3079,2094,3273,3697,2916,2984
SSA_2385,2793,4311,2730,2038,2798,3873,2555,3114
rmuC,44439,76409,48248,26317,62077,43734,41622,53859
prmA,8647,11064,8507,3904,9241,7416,5859,11012
SSA_1269,10504,23517,15627,7275,18972,14481,11913,13652
SSA_0972,11106,19605,13659,8057,15521,13957,11233,15052
SSA_1065,28165,77910,50390,25395,48126,47979,30117,57336
SSA_1114,4214,5782,3450,3154,5597,3881,3799,5279
SSA_1120,9938,15797,10231,6432,13258,10417,9496,11963
SSA_1147,229,397,261,150,318,292,211,282
SSA_1897,4828,7248,4524,2770,5774,4559,4600,5553
mip,18569,25569,17284,9981,20943,16171,14433,23447
SSA_2124,9682,17516,10834,7696,12774,12309,10589,11818
trpS,8656,13424,7582,6069,11036,8631,7992,11069
SSA_0405,2884,4895,3156,2155,3929,3553,2478,4234
SSA_0432,3397,10932,12125,2696,6872,6430,3169,12055
glyA,39172,65282,44855,24910,52568,41622,36265,54575
nagB,5983,11209,6921,3900,8465,7027,5143,8346
glyS,139486,226750,148024,71621,194552,132372,117101,172523
SSA_0221,79667,127953,69776,48591,93033,83586,71495,96288
SSA_0069,2546,3859,2429,1681,2756,2640,2167,3508
SSA_1280,8326,15019,9570,5847,11312,9664,8894,10919
SSA_0583,19692,30644,20848,10801,24651,19685,16351,26214
SSA_1323,12415,20286,12257,7543,16303,12427,11339,14460
SSA_1277,3830,7211,4874,2750,5573,4955,3857,5318
SSA_0332,13003,20493,13856,7232,17573,12775,11215,16216
ilvA,7296,11484,7370,4650,9389,8005,7143,8101
SSA_1164,137,245,153,116,212,168,138,188
SSA_1662,1422,1860,1269,810,1553,1290,1157,1812
pppL,37969,62607,38923,22799,51497,36657,35611,44436
rmlD,25546,42999,25800,16318,38411,23418,22779,31255
SSA_1672,90,153,119,72,119,111,103,136
SSA_0480,4806,8027,6398,2422,6875,4844,3999,6496
SSA_1993,13756,24955,16556,9190,19543,17846,13682,16549
SSA_0310,2387,4252,2649,1811,3205,2704,2469,3242
SSA_0170,11262,21365,16674,9277,16770,16453,12966,16251
SSA_0384,14290,31614,18702,11530,21159,19175,15762,21934
rplS,21015,30262,16666,12007,29041,15840,15901,26398
SSA_2217,34194,50439,31873,21371,37837,34465,32965,38441
SSA_2325,1553,2444,1838,777,2310,1469,1141,2156
SSA_2472,73,158,63,50,91,98,71,82
rpsF,18308,31428,16409,12607,23941,18859,15968,25544
SSA_2441,721,919,623,332,619,618,933,485
SSA_1079,11647,16845,9978,8531,14117,13877,12016,10846
SSA_1276,2771,6167,4412,1966,4497,4188,2819,4444
SSA_1329,12701,23320,16748,9195,17588,16616,13482,17622
holB,14632,25183,15605,9283,19276,15411,14161,18229
SSA_1866,1487,2174,1211,1096,1876,1553,1154,1856
fabG,46447,53926,34190,23781,44521,38887,36349,51822
SSA_2158,5253,7573,4982,3291,6054,5403,4984,6081
SSA_2299,28594,45286,26756,19701,34793,33281,27360,32896
SSA_0234,11565,20771,11266,10061,16228,15269,11746,13481
SSA_0252,1364,2585,2031,1082,2172,2000,1303,2117
lysC,7613,12860,8544,5574,10259,8695,7628,9846
SSA_1909,26841,37189,24004,15270,33902,23922,22463,28803
acoL,37596,60389,41146,21393,56207,36410,31616,46472
pfk,103026,137559,87081,50530,131320,79315,78876,116643
SSA_1760,186,252,217,101,179,271,119,249
SSA_0831,50613,76253,52907,27817,57175,50693,40003,73194
SSA_0220,33166,50041,32162,17180,39937,31656,27917,37638
SSA_0790,1385,2153,1471,1043,1480,1907,1395,1548
glk,4458,14726,15342,3972,9688,10291,4930,16123
SSA_1234,132467,221902,146924,85981,166821,139800,126429,188187
SSA_1801,34794,58052,38847,23148,46290,40415,33967,42821
SSA_1246,29551,56683,45577,23821,37016,50532,29129,44852
secE,8786,18478,10537,8621,13405,13446,10639,10951
trpD,3072,4793,3321,1717,3878,3012,2556,4242
SSA_1868,6570,10650,5963,3796,9510,5414,5254,8096
SSA_0931,1620,2501,1700,1155,2002,1879,1614,1856
SSA_1362,649,884,536,340,667,629,509,708
SSA_1553,22829,39807,22531,15275,32983,23127,22185,27873
pbp1A,52156,99430,62544,36178,84858,60273,53080,64829
SSA_2285,1266,2184,1400,794,1777,1410,1091,1690
SSA_1296,5902,9019,6171,3940,6485,7082,5627,7443
parC,120242,190937,132384,67725,168641,114790,106660,150073
SSA_1986,1869,2894,1775,1390,2219,2285,1963,2015
SSA_2353,4909,8998,4707,3186,7102,5324,4418,6037
SSA_0540,128,268,183,111,211,162,143,204
uncA,400298,542223,333535,187584,501371,308715,316817,426266
SSA_0894,1057,1797,1166,705,1415,1194,985,1351
SSA_0392,532,723,575,323,722,612,478,504
SSA_1914,354,476,256,283,390,378,320,392
SSA_0801,18982,31259,19014,12409,27319,18799,17143,23795
gor,29879,49132,31370,17663,45642,27750,25507,37255
SSA_1375,10746,16260,10568,5832,13161,10153,8441,13720
SSA_1862,14721,22940,13500,8799,18339,14067,13892,16069
SSA_0991,2220,3839,2413,1401,3462,2284,1943,2650
SSA_0419,4369,6797,4556,2373,5172,4095,3548,6056
SSA_1816,98420,164418,129453,72428,113275,146082,93154,134479
SSA_1673,463,638,389,337,463,514,462,495
tatC,6049,9555,6062,3970,7154,7475,5489,7033
SSA_0172,675,1115,968,577,843,1161,716,880
SSA_2087,12548,17396,10902,8696,15612,12026,10534,15416
srtB,5763,10941,6618,4371,8838,6616,5949,7907
SSA_0651,6574,11673,7990,5831,9006,9628,7784,7953
coaE,26704,43851,27592,15813,33542,26905,23762,34469
SSA_0431,1241,3033,3148,1004,2236,2251,1241,3271
SSA_1029,1814,3200,2019,1105,2427,1830,1663,2621
purL,7559,10782,8088,3649,8457,6995,5470,11077
SSA_1504,23390,40127,22655,19638,28183,30508,23192,30470
SSA_0812,26536,44547,30533,15049,37796,26246,24266,32648
bioY,1013,1652,1175,688,1140,1323,953,1379
SSA_0998,2429,4693,3041,2049,3463,3666,2778,2984
xseA,12637,18648,10969,7307,16587,10426,10466,14929
SSA_0315,5197,7284,4209,2673,6523,4246,3732,6232
SSA_1747,1708,2609,1717,1204,2247,1856,1678,1893
SSA_2235,19420,32831,21539,10428,28974,19079,15866,24455
SSA_1675,545,853,559,437,696,686,525,684
adhB,31139,52801,32544,16933,45385,29812,25445,37834
dnaJ,102481,156636,103211,52842,129056,90564,82348,131238
ksgA,21109,42321,27104,12862,31913,25360,19673,28775
scpB,18277,31635,19440,11749,23290,20264,17174,23682
SSA_0602,23155,37643,26205,11690,32844,22300,18995,29143
SSA_1040,51649,85740,47092,35243,65368,55762,47466,64339
SSA_2393,880,1752,1157,707,1144,1456,899,1154
relA,71747,104540,71859,37833,90888,64138,57597,90778
cppA,6668,9733,6144,3697,8383,6022,5583,7627
SSA_0434,4047,15167,13536,3750,9386,9051,4497,14911
SSA_0803,9438,13862,8756,5525,13044,7986,8094,10706
asd,6655,9041,5397,3831,8508,5255,5176,8053
aroD,11236,19604,10651,7882,14800,11777,11340,14087
SSA_0366,7437,12597,7875,5166,10459,7891,7608,8754
nagD,14801,21977,14468,8298,19780,13806,13222,16072
aroE,11510,19403,11688,7570,14750,12133,11510,14229
SSA_0240,1375,1832,1302,763,1311,1340,1122,1797
SSA_2012,3254,6549,3350,2746,4611,4154,3654,4147
SSA_1233,3644,6294,4112,2548,4649,4446,3182,5239
SSA_2215,40565,60322,35048,31760,42740,51139,42061,42233
SSA_0479,2812,3484,2499,1688,3199,2522,2572,2922
SSA_1649,7751,12825,8024,5456,9212,9371,7647,9490
SSA_0893,1313,2138,1428,853,1681,1516,1251,1556
gpm,3454,6118,4399,2556,5440,4021,3557,4448
SSA_1477,85,141,103,56,114,102,79,113
cysE,26280,36204,27287,11473,35638,20591,19578,31295
SSA_2029,37,56,37,11,44,45,16,39
SSA_2229,14252,25549,16988,9201,19992,16169,13830,18674
SSA_1720,9595,15132,10086,6742,11564,11577,8922,12206
purM,2254,3222,2393,1238,2492,2202,1670,3302
thiJ,17028,27861,16278,9226,23467,15690,14413,19969
SSA_1636,20355,31100,21577,10434,27694,18528,16942,24055
trkA2,7388,9769,6025,3647,8528,5951,5938,7975
rluB,32217,53145,35485,17391,45408,29920,27847,40743
SSA_0228,1087,2389,1126,1385,1734,1684,1733,1289
SSA_2024,25,37,34,16,39,27,18,36
SSA_0884,1963,3867,2212,1897,2666,2794,2368,2692
mutL,36766,65278,41988,21851,55140,36831,33858,47253
recO,25803,44310,26084,17647,33992,27716,25410,32248
purN,1077,1557,1127,552,1053,1086,860,1508
trpC,2358,3975,2481,1506,2966,2561,2200,3068
tgt,9538,15148,10777,4778,14361,8687,7813,11145
SSA_0649,1643,2772,2021,1180,2410,1934,1467,2314
SSA_1475,158,293,237,154,225,311,145,229
folE,17666,26248,17904,9506,21283,17122,14290,22297
SSA_1102,169,241,168,120,203,192,165,186
SSA_0279,13069,22038,13683,9204,16577,15553,13350,15427
SSA_1412,2471,3767,2398,1327,3186,2104,1654,3673
pbpX,79925,140725,85689,50489,116509,82574,76606,96423
SSA_1924,5590,11797,6982,4289,8238,7675,5735,8107
SSA_0222,113829,186389,111231,64008,143122,111422,99093,141079
SSA_0282,249,606,582,174,389,468,287,495
SSA_0433,1846,7151,7053,1664,4396,4107,2066,7468
SSA_2275,3101,5005,3554,2200,3824,3763,3167,3891
SSA_1875,905,1701,982,730,1198,1191,993,1142
hipO,62287,100425,70177,32456,87550,57900,52707,78777
trpG,1023,1654,994,580,1234,954,817,1462
SSA_0733,29283,55828,32501,18883,39477,33524,27403,40841
SSA_2161,1674,2563,1455,1135,2104,1638,1415,2164
SSA_1361,0,0,0,0,0,0,0,0
SSA_0265,0,0,0,0,0,0,0,0
SSA_2419,0,0,0,0,0,0,0,0
SSA_2420,0,0,0,0,0,0,0,0
SSA_2421,0,0,0,0,0,0,0,0
SSA_2409,0,0,0,0,0,0,0,0
SSA_2433,71,9,14,5,6,6,1,5
SSA_2434,110,60,42,19,23,25,4,13
SSA_2414,0,0,0,0,0,0,0,0
SSA_2404,0,0,0,0,0,0,0,0
SSA_2462,0,0,0,0,0,0,0,0
SSA_2461,0,0,0,0,0,0,0,0
SSA_2460,0,0,0,0,0,0,0,0
SSA_2459,0,0,0,0,0,0,0,0
SSA_2458,0,0,0,0,0,0,0,0
SSA_2457,0,0,0,0,0,0,0,0
SSA_2456,0,0,0,0,0,0,0,0
SSA_2410,0,0,0,0,0,0,0,0
SSA_2406,0,0,0,0,0,0,0,0
SSA_2455,0,0,0,0,0,0,0,0
SSA_2408,0,0,0,0,0,0,0,0
SSA_2402,0,0,0,0,0,0,0,0
SSA_2415,0,0,0,0,0,0,0,0
SSA_2416,0,0,0,0,0,0,0,0
SSA_2417,0,0,0,0,0,0,0,0
SSA_2418,0,0,0,0,0,0,0,0
,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA
,NA,NA,NA,NA,NA,NA,NA,NA
