Tags.matched.to.6653.Candida.albicans.ORF19.genome.features...elements,C..albicans.only,C..albicans...S..gordonii,C..albicans...growth.medium..YPT.Glc.,C..albicans.only.1,C..albicans...S..gordonii.1,C..albicans...growth.medium..YPT.Glc..1,C..albicans.only.2,C..albicans...S..gordonii.2,C..albicans...growth.medium..YPT.Glc..2
ID_gamma-7a_Name_gamma-7a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,285,166,296,170,123,409,342,220,290
ID_gamma-7b_Name_gamma-7b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,490,256,431,478,268,785,608,405,654
ID_gamma-Ra_Name_gamma-Ra_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca2_B_about_280_bp_long_2C_5-10_copies_per_genome_Alias_gamma,25,6,44,47,18,82,56,24,46
ID_HOK-1_Name_HOK-1_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_1_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,671,335,689,551,240,1215,761,464,1080
ID_HOK-2_Name_HOK-2_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_2_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,847,342,977,724,250,1309,868,466,1248
ID_HOK-4_Name_HOK-4_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_4_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,737,306,764,676,318,1386,935,406,1231
ID_HOK-5_Name_HOK-5_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_5_B_MRS_units_are_found_on_most_chromosomes_B_only_partial_MRS_sequences_are_present_on_chromosome_5_in_Assembly_21_likely_due_to_assembly_error,658,280,717,489,146,714,635,251,521
ID_HOK-6_Name_HOK-6_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_6_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,892,454,973,874,434,1707,1195,582,1753
ID_HOK-7a_Name_HOK-7a_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_7_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,1381,597,1718,1382,534,2591,1767,893,2623
ID_HOK-7b_Name_HOK-7b_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_7_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,675,350,895,680,346,1397,898,464,1444
ID_HOK-R_Name_HOK-R_Note_Repeat_sequence_of_about_8_kb_2C_part_of_the_Major_Repeat_Sequence__MRS__on_Chromosome_R_B_MRS_units_are_found_on_most_chromosomes_B_may_serve_as_recombination_hotspots,768,345,789,524,243,1208,826,468,1086
ID_huia-3a_Name_huia-3a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca16_B_about_127_bp_long_2C_6_copies_per_genome_Alias_huia,0,0,0,0,0,0,0,0,0
ID_iota-1a_Name_iota-1a_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,124,49,121,91,34,127,104,48,73
ID_iota-1b_Name_iota-1b_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,34,9,15,32,4,25,36,9,34
ID_iota-2a_Name_iota-2a_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,9,2,0,0,0,2,1,2,0
ID_iota-4a_Name_iota-4a_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,17,6,19,41,18,49,46,21,37
ID_iota-5a_Name_iota-5a_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,18,6,21,34,16,49,42,22,32
ID_iota-5b_Name_iota-5b_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,18,6,17,39,16,49,41,20,34
ID_iota-Ra_Name_iota-Ra_Note_Long_terminal_repeat__LTR__B_about_251_bp_long_2C_13_copies_per_genome_Alias_iota,7,2,3,4,2,19,7,1,2
ID_ITS1_Name_ITS1_Gene_ITS1_Note_Non-coding_region_in_the_55_copies_of_rDNA_repeat_2C_between_RDN18_and_RDN58_B_in_S__cerevisiae_it_is_transcribed_as_part_of_the_35S_precursor_that_is_processed_during_rRNA_maturation_to_yield_18S_2C_5_8S_2C_and_25S_rRNA_species_orf_classification_Uncharacterized,780,113,663,43,1,94,58,15,80
ID_ITS2_Name_ITS2_Gene_ITS2_Note_Non-coding_region_in_the_55_copies_of_rDNA_repeat_2C_between_RDN58_and_RDN25_B_in_S__cerevisiae_it_is_transcribed_as_part_of_the_35S_precursor_that_is_processed_during_rRNA_maturation_to_yield_18S_2C_5_8S_2C_and_25S_rRNA_species_orf_classification_Uncharacterized,1327,161,1331,1975,46,705,519,234,452
ID_kahu-3a_Name_kahu-3a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca15_B_about_531_bp_long_2C_17_copies_per_genome_Alias_kahu,165,84,157,162,39,151,184,84,153
ID_kahu-Ra_Name_kahu-Ra_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca15_B_about_531_bp_long_2C_17_copies_per_genome_Alias_kahu,27,8,25,12,8,17,41,18,23
ID_kahu-Rb_Name_kahu-Rb_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca15_B_about_531_bp_long_2C_17_copies_per_genome_Alias_kahu,85,52,67,73,16,64,81,25,52
ID_kappa-1a_Name_kappa-1a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca6_B_about_280_bp_long_2C_10-15_copies_per_genome_Alias_kappa,686,174,522,617,127,548,370,185,485
ID_kappa-6a_Name_kappa-6a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca6_B_about_280_bp_long_2C_10-15_copies_per_genome_Alias_kappa,9,2,9,9,1,8,5,0,3
ID_kereru-1a_Name_kereru-1a_Note_Long_terminal_repeat__LTR__B_about_450_bp_long_Alias_kereru,97,79,115,49,70,141,78,102,80
ID_koppa-1a_Name_koppa-1a_Note_Long_terminal_repeat__LTR__B_about_208_bp_long_2C_10_copies_per_genome_Alias_koppa,10,2,1,6,0,4,7,3,8
ID_koppa-3a_Name_koppa-3a_Note_Long_terminal_repeat__LTR__B_about_208_bp_long_2C_10_copies_per_genome_Alias_koppa,18,9,34,14,4,22,13,12,32
ID_koppa-7a_Name_koppa-7a_Note_Long_terminal_repeat__LTR__B_about_208_bp_long_2C_10_copies_per_genome_Alias_koppa,7,2,0,5,0,1,4,5,5
ID_lambda-4a_Name_lambda-4a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca14_B_about_512_bp_long_2C_4_copies_per_genome_Alias_lambda,68,25,100,33,11,93,68,23,85
ID_LSU-C2809_Name_LSU-C2809_Note_C_2FD_box_small_nucleolar_RNA__snoRNA__orf_classification_Uncharacterized,165,38,147,110,22,155,112,29,91
ID_LSU-G1431_Name_LSU-G1431_Note_C_2FD_box_small_nucleolar_RNA__snoRNA__orf_classification_Uncharacterized,401,56,192,24,2,42,41,16,30
ID_moa-1a_Name_moa-1a_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca13_B_about_507_bp_long_2C_8_copies_per_genome_Alias_moa,222,101,237,207,98,298,186,118,243
ID_moa-6a_Name_moa-6a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca13_B_about_507_bp_long_2C_8_copies_per_genome_Alias_moa,1146,408,1018,1084,372,1224,932,669,1131
ID_moa-6b_Name_moa-6b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca13_B_about_507_bp_long_2C_8_copies_per_genome_Alias_moa,682,185,573,525,190,580,526,381,573
ID_MRS-1_Name_MRS-1_Note_Major_Repeat_Sequence__MRS__on_Chromosome_1_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,4449,2510,4892,2863,1451,4830,4045,2734,4427
ID_MRS-2_Name_MRS-2_Note_Major_Repeat_Sequence__MRS__on_Chromosome_2_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,6668,3269,6911,4656,2197,7597,6452,4228,6844
ID_MRS-4_Name_MRS-4_Note_Major_Repeat_Sequence__MRS__on_Chromosome_4_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,3640,1721,3998,2323,1064,3936,3379,1806,3461
ID_MRS-5_Name_MRS-5_Note_Major_Repeat_Sequence__MRS__on_Chromosome_5_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_only_partial_MRS_sequences_are_present_on_chromosome_5_in_Assembly_21_likely_due_to_assembly_error,1204,535,1306,1217,304,1490,1107,533,1129
ID_MRS-6_Name_MRS-6_Note_Major_Repeat_Sequence__MRS__on_Chromosome_6_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,3568,1780,3873,2294,1076,4015,3503,1861,3742
ID_MRS-7a_Name_MRS-7a_Note_Major_Repeat_Sequence__MRS__on_Chromosome_7_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,3363,1537,3595,2302,1033,3869,2936,1674,3788
ID_MRS-7b_Name_MRS-7b_Note_Major_Repeat_Sequence__MRS__on_Chromosome_7_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,3121,1656,3361,2497,1123,4728,3634,2380,3991
ID_MRS-R_Name_MRS-R_Note_Major_Repeat_Sequence__MRS__on_Chromosome_R_B_MRS_units_are_composed_of_variable_numbers_of_RPS_units_flanked_by_HOK_and_RB2_sequences_B_found_on_most_chromosomes_B_may_serve_as_recombination_hot_spot,4485,2162,4358,2944,1363,4830,4112,2354,4504
ID_mu-7a_Name_mu-7a_Note_Long_terminal_repeat__LTR__B_about_780_bp_long_2C_4_copies_per_genome_Alias_mu,9,0,11,20,1,3,15,0,9
ID_mu-Ra_Name_mu-Ra_Note_Long_terminal_repeat__LTR__B_about_780_bp_long_2C_4_copies_per_genome_Alias_mu,8,0,2,4,2,10,5,1,3
ID_nu-2a_Name_nu-2a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca3_B_about_277_bp_long_2C_11_copies_per_genome_Alias_nu,9,0,4,1,0,5,7,0,0
ID_nu-2b_Name_nu-2b_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca3_B_about_277_bp_long_2C_11_copies_per_genome_Alias_nu,0,0,3,2,0,6,5,0,0
ID_nu-Ra_Name_nu-Ra_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca3_B_about_277_bp_long_2C_11_copies_per_genome_Alias_nu,0,0,0,0,0,0,2,2,7
ID_nu-Rb_Name_nu-Rb_Note_Solo_copy_of_the_long_terminal_repeat__LTR__associated_with_the_transposon_Tca3_B_about_277_bp_long_2C_11_copies_per_genome_Alias_nu,0,0,0,0,0,0,2,2,6
ID_omega-6a_Name_omega-6a_Note_Long_terminal_repeat__LTR__associated_with_the_transposon_Tca5_B_about_685_bp_long_2C_up_to_5_copies_per_genome_Alias_omega,161,399,1219,63,73,91,110,85,58
ID_omicron-5a_Name_omicron-5a_Note_Long_terminal_repeat__LTR__B_about_268_bp_long_2C_9_copies_per_genome_Alias_omicron,4,1,0,3,0,2,3,0,6
ID_orf19_10_Name_orf19_10_Gene_ALK8_Note_Alkane-inducible_cytochrome_P450_B_catalyzes_hydroxylation_of_lauric_acid_to_hydroxylauric_acid_B_overproduction_causes_fluconazole_resistance_in_a_wild-type_background_and_causes_multidrug_resistance_in_a_cdr1_cdr2_double_mutant_background_orf_classification_Verified_Alias_orf19_7683_IPF27231_1_IPF11568_1_Contig4-2506_0001_orf6_1706_CA0651_CaO19_7683_CaO19_10,24,8,67,52,11,32,71,11,40
ID_orf19_100_Name_orf19_100_Note_Hap43p-repressed_gene_B_late-stage_biofilm-induced_orf_classification_Uncharacterized_Alias_orf19_7747_IPF10462_3_IPF29954_1_Contig4-2197_0007_orf6_2503_orf6_490_CA0093_CaO19_100_IPF29954_IPF19980_repeat2_IPF10462_2,342,197,405,109,76,236,214,111,200
ID_orf19_1002_Name_orf19_1002_Note_Hap43p-repressed_gene_orf_classification_Uncharacterized_Alias_LPF8_IFA22_orf19_8618_IPF26289_1_IPF15371_2_orf6_5795_CA3517_CaO19_8618_CaO19_1002,222,116,214,91,40,143,147,99,127
ID_orf19_1005_Name_orf19_1005_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_transcription_is_upregulated_in_both_intermediate_and_mature_biofilms_orf_classification_Uncharacterized_Alias_LPF10_orf19_8619_IPF19532_1_IPF18326_1_IPF15368_2_Contig4-1962_0003_orf6_5794_orf6_581_CA6182_orf19_1003_CaO19_1005,11,18,41,28,6,38,41,11,32
ID_orf19_1007_Name_orf19_1007_Note_Putative_transcription_factor_with_bZIP_DNA-binding_motif_orf_classification_Uncharacterized_Alias_KCS1_orf19_8622_IPF26283_1_IPF3746_1_Contig4-3028_0026_orf6_613_CA0133_CaO19_1007_CaO19_8622_IPF3746,394,160,364,641,150,609,377,182,526
ID_orf19_1008_Name_orf19_1008_orf_classification_Dubious_Alias_IPF29604_1_Contig4-3028_0025_orf6_612_CaO19_1008,0,2,3,0,0,1,0,1,1
ID_orf19_1009_Name_orf19_1009_orf_classification_Dubious_Alias_IPF26287_1_Contig4-3028_0022_Contig4-3028_0024_orf6_611_CaO19_1009,0,2,0,4,0,1,0,1,3
ID_orf19_101_Name_orf19_101_Gene_RIM9_Note_Protein_required_for_alkaline_pH_response_via_the_RIM101_signaling_pathway_B_ortholog_of_S__cerevisiae_RIM9_and_A__nidulans_palI_orf_classification_Verified_Alias_orf19_7748_IPF20039_1_IPF10461_2_Contig4-1178_0001_orf6_2504_orf6_491_CA1150_CaO19_101,157,52,125,62,40,118,151,61,124
ID_orf19_1010_Name_orf19_1010_Gene_MNT3_Note_Mannosyltransferase_B_transcription_elevated_in_cyr1_2C_chk1_2C_nik1_2C_and_sln1_homozygous_null_mutants_B_fungal-specific__no_human_or_murine_homolog__orf_classification_Verified_Alias_KTR1_KTR3_orf19_8624_IPF19565_2_IPF29601_1_Contig4-3028_0019_orf6_2170_orf6_220_CA0033_CaO19_1010_CA0952_MNT3_3eoc_IPF19564_1,176,52,129,82,19,103,79,36,47
ID_orf19_1011_Name_orf19_1011_Note_Ortholog_s__have_alpha-1_2C2-mannosyltransferase_activity_2C_role_in_protein_glycosylation_and_Golgi_apparatus_localization_orf_classification_Uncharacterized_Alias_MNN21_MNN6_orf19_8625_IPF26282_1_IPF3740_1_Contig4-3028_0018_orf6_2169_CA0951_CaO19_8625_CaO19_1011,2074,1097,2332,1637,1006,3184,1965,1497,2680
ID_orf19_1012_Name_orf19_1012_Note_Ortholog_s__have_clathrin_binding_activity_2C_role_in_Golgi_to_vacuole_transport_2C_endosome_transport_and_AP-1_adaptor_complex_2C_cytosol_2C_endosome_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_APS1_orf19_8626_IPF26284_1_IPF3737_2_Contig4-3028_0013_orf6_2168_CA0950_CaO19_1012_CaO19_8626_IPF3737,715,266,554,709,400,1401,852,610,865
ID_orf19_102_Name_orf19_102_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_603200_orf_classification_Uncharacterized_Alias_orf19_7749_IPF17548_2_IPF10459_1_Contig4-1178_0003_orf6_2505_orf6_492_CA1151_CaO19_102_IPF10459,178,59,184,132,49,278,147,71,135
ID_orf19_1026_1_Name_orf19_1026_1_Note_Ortholog_of_C__parapsilosis_CDC317__A_CPAR2_105090_orf_classification_Uncharacterized,40,11,32,221,31,192,118,40,182
ID_orf19_1026_Name_orf19_1026_Note_Ortholog_s__have_role_in_exonucleolytic_trimming_to_generate_mature_3_27-end_of_5_8S_rRNA_from_tricistronic_rRNA_transcript__SSU-rRNA_2C_5_8S_rRNA_and_LSU-rRNA__2C_more_orf_classification_Uncharacterized_Alias_CSL4_orf19_8628_IPF15779_2_IPF17757_1_Contig4-2078_0005_orf6_512_orf6_647_CA0142_CaO19_1026,498,209,554,882,169,1195,696,166,748
ID_orf19_1027_Name_orf19_1027_Gene_PDR16_Note_Phosphatidylinositol_transfer_protein_B_increased_transcription_correlates_with_CDR1_and_CDR2_overexpression_and_azole_resistance_B_induced_by_fluphenazine_2C_17-beta-estradiol_2C_ethynyl_estradiol_2C_nitric_oxide_B_farnesol-downregulated_in_biofilm_orf_classification_Verified_Alias_PDR17_orf19_8629_IPF15777_2_IPF19201_1_Contig4-2078_0006_orf6_511_orf6_648_CA6183_CaO19_1027,386,225,448,235,102,308,400,194,322
ID_orf19_1028_Name_orf19_1028_Note_Ortholog_s__have_ubiquitin-protein_ligase_activity_2C_role_in_protein_ubiquitination_involved_in_ubiquitin-dependent_protein_catabolic_process_and_Cul3-RING_ubiquitin_ligase_complex_2C_elongin_complex_localization_orf_classification_Uncharacterized_Alias_ELA1_orf19_8630_IPF19583_2_IPF19582_1_Contig4-2010_0003_Contig4-2010_0005_orf6_3223_orf6_411_CA1631_CaO19_1028_IPF19582,100,61,151,198,26,183,122,56,156
ID_orf19_1029_Name_orf19_1029_Note_Ortholog_s__have_ribonuclease_MRP_activity_2C_ribonuclease_P_activity_2C_role_in_intronic_box_C_2FD_snoRNA_processing_2C_mRNA_cleavage_2C_rRNA_processing_2C_tRNA_processing_and_nucleolar_ribonuclease_P_complex_2C_ribonuclease_MRP_complex_localization_orf_classification_Uncharacterized_Alias_RPP1_orf19_8631_IPF26259_1_IPF14315_2_Contig4-2010_0007_orf6_3222_CA1630_CaO19_1029,64,44,81,253,60,240,172,52,180
ID_orf19_103_Name_orf19_103_Gene_KAR5_Note_Protein_similar_to_S__cerevisiae_Kar5p_2C_involved_in_nuclear_membrane_fusion_during_karyogamy_B_induced_by_alpha_factor_orf_classification_Uncharacterized_Alias_orf19_7750_IPF10457_3_Contig4-2013_0002_orf6_2506_CA1152_CaO19_103_IPF10457_CA1195_orf6_2573_IPF17213_2_IPF10457_2,16,13,13,18,9,18,26,20,16
ID_orf19_1030_Name_orf19_1030_Note_Putative_peptidyl-prolyl_cis-trans_isomerase_orf_classification_Uncharacterized_Alias_FPR3_NPI46_FKBP2_FKBP3_orf19_8632_IPF26252_1_IPF14314_2_Contig4-2064_0001_orf6_3221_CA1629_CaO19_1030,5285,1454,5263,16750,3220,14844,9682,4035,14440
ID_orf19_1031_Name_orf19_1031_Gene_HMG1_Note_HMG-CoA_reductase_B_enzyme_of_sterol_pathway_B_inhibited_by_lovastatin_B_gene_not_transcriptionally_regulated_in_response_to_lovastatin_and_fluconazole_orf_classification_Verified_Alias_orf19_8633_IPF26280_1_IPF19736_1_Contig4-2301_0005_Contig4-2301_0007_Contig4-2301_0008_orf6_3220_CA1628_CaO19_1031_CaO19_8633,4133,1107,4253,2809,698,4686,2564,1092,2694
ID_orf19_1032_Name_orf19_1032_Gene_SKO1_Note_bZIP_domain_transcription_factor_involved_in_cell_wall_damage_response_B_represses_the_yeast-to-hypha_transition_B_mutants_are_caspofungin_sensitive_B_induced_by_osmotic_stress_via_Hog1p_B_induced_by_Mnl1p_under_weak_acid_stress_orf_classification_Verified_Alias_orf19_8634_IPF26249_1_IPF6153_2_Contig4-2301_0003_Contig4-2301_0004_orf6_3219_CA1627_CaO19_8634_CaO19_1032_SKO1_3f_SKO1_3,674,184,538,970,135,1145,1225,225,984
ID_orf19_1033_Name_orf19_1033_Gene_STR2_Note_Ortholog_s__have_cystathionine_gamma-synthase_activity_2C_role_in_transsulfuration_and_cytosol_2C_nucleus_localization_orf_classification_Uncharacterized_Alias_orf19_8635_IPF26248_1_IPF6155_2_orf6_3218_CA1626_CaO19_1033,1101,412,932,627,238,960,648,334,767
ID_orf19_1034_Name_orf19_1034_Note_Hap43p-repressed_gene_B_caspofungin_repressed_B_biofilm-_and_planktonic_growth-induced_gene_orf_classification_Uncharacterized_Alias_orf19_8636_IPF18786_2_IPF6156_1_Contig4-2952_0020_orf6_3217_orf6_2323_CA1625_CaO19_1034_IPF6156,785,169,547,355,76,376,349,220,297
ID_orf19_1035_Name_orf19_1035_Gene_WAR1_Note_Zinc_cluster_transcription_factor_B_plays_a_role_in_resistance_to_weak_organic_acids_B_required_for_yeast_cell_adherence_to_silicone_substrate_orf_classification_Verified_Alias_orf19_8637_IPF6159_2_IPF17784_3_Contig4-2952_0016_orf6_2322_orf6_265_orf6_3216_CA1038_CaO19_1035_IPF6159,342,138,344,279,177,480,505,203,386
ID_orf19_1036_Name_orf19_1036_Gene_MNS1_Note_Alpha-1_2C2-mannosidase_B_processes_Man9GlcNAc2_to_Man8GlcNAc2_isomer_B_B_member_of_endoplasmic-reticulum_localized_glycosyl_hydrolase_family_47_B_ER_form_is_converted_by_Kex2p_to_a_cytosolic_form_orf_classification_Verified_Alias_orf19_8638_IPF6163_1_IPF29592_1_Contig4-2952_0008_orf6_2321_CA1037_CaO19_8638_CaO19_1036,1283,697,1475,1132,281,1546,1140,605,934
ID_orf19_1037_Name_orf19_1037_orf_classification_Uncharacterized_Alias_orf19_8639_orf19_8640_IPF26266_1_IPF19718_1_IPF26258_1_IPF13751_2_Contig4-2664_0012_orf6_2320_orf6_2319_CA1036_CA1035_orf19_1038_CaO19_1037_CaO19_8639_IFI2_5f,1069,1439,1652,1101,624,1196,1204,1543,909
ID_orf19_1039_Name_orf19_1039_Note_Ortholog_s__have_Rab_geranylgeranyltransferase_activity_and_role_in_ER_to_Golgi_vesicle-mediated_transport_2C_protein_geranylgeranylation_2C_protein_targeting_to_membrane_orf_classification_Uncharacterized_Alias_orf19_8641_IPF17890_1_IPF29595_1_Contig4-2664_0010_orf6_2318_CA1034_BET4_3f_BET4_exon2,152,56,181,141,33,293,193,55,180
ID_orf19_104_Name_orf19_104_Note_Predicted_ORF_in_Assemblies_19_2C_20_and_21_B_transcription_is_induced_in_response_to_alpha_pheromone_in_SpiderM_medium_orf_classification_Uncharacterized_Alias_IPF17213_3_IPF10455_3_Contig4-2013_0005_orf6_2507_CA1153_CaO19_104_IPF10455_IPF10455_2,21,15,21,25,11,41,31,22,54
ID_orf19_1040_Name_orf19_1040_Gene_MAD2_Note_Protein_required_for_the_spindle_assembly_checkpoint_of_the_cell_cycle_B_necessary_for_survival_in_host_cell_macrophages_and_for_virulence_in_a_mouse_model_of_systemic_candidiasis_orf_classification_Verified_Alias_orf19_8642_IPF17891_2_IPF17882_3_Contig4-2664_0009_orf6_2122_orf6_2317_CA1033_CaO19_1040,121,32,103,184,71,405,187,109,233
ID_orf19_1041_Name_orf19_1041_Note_Ortholog_s__have_cyclin-dependent_protein_kinase_activity_orf_classification_Uncharacterized_Alias_orf19_8643_IPF26251_1_IPF17881_2_Contig4-2664_0008_orf6_2123_CA0918_CaO19_1041_CaO19_8643_IPF17881,229,73,170,187,52,288,112,72,152
ID_orf19_1042_Name_orf19_1042_Gene_POR1_Note_Mitochondrial_outer_membrane_porin_B_in_detergent-resistant_membrane_fraction__possible_lipid_raft_component__B_antigenic_in_human_2C_mouse_B_Hap43p-induced_B_flucytosine-_2C_macrophage-_2C_farnesol-_induced_B_fluconazole_2C_caspofungin_repressed_orf_classification_Verified_Alias_orf19_8644_IPF26262_1_IPF12994_2_Contig4-2664_0006_orf6_2124_CA0919_VDAC1_CaO19_1042,10625,5036,9536,2876,1118,4930,4271,2045,3051
ID_orf19_1043_Name_orf19_1043_Note_Ortholog_s__have_lysophosphatidic_acid_acyltransferase_activity_2C_role_in_cellular_triglyceride_homeostasis_2C_lipid_particle_organization_2C_protein_targeting_to_vacuole_and_Golgi_apparatus_2C_endoplasmic_reticulum_2C_lipid_particle_localization_orf_classification_Uncharacterized_Alias_orf19_8645_IPF26261_1_IPF12992_2_orf6_2125_CA0921_CaO19_1043_CaO19_8645_IPF12992,205,57,107,71,9,110,88,40,73
ID_orf19_1045_Name_orf19_1045_Note_Putative_U2_snRNP_protein_B_Hap43p-induced_gene_B_mutation_confers_hypersensitivity_to_5-fluorocytosine__5-FC__2C_5-fluorouracil__5-FU__2C_and_tubercidin__7-deazaadenosine__orf_classification_Verified_Alias_IST3_orf19_8647_IPF26260_1_IPF12991_1_Contig4-2647_0003_orf6_2127_CA0922_CaO19_8647_CaO19_1045_IPF12991,306,107,184,528,176,466,348,136,460
ID_orf19_1047_Name_orf19_1047_Gene_ERB1_Note_Protein_with_a_predicted_role_in_ribosomal_large_subunit_biogenesis_B_mutation_confers_hypersensitivity_to_5-fluorocytosine__5-FC__2C_5-fluorouracil__5-FU__2C_and_tubercidin__7-deazaadenosine__B_hyphal_repressed_B_macrophage_repressed_orf_classification_Verified_Alias_orf19_8649_IPF26243_1_IPF12987_2_Contig4-2647_0005_Contig4-2647_0006_orf6_2129_CA0923_CaO19_1047_IPF12987,2994,878,2936,8720,1685,7234,3650,1056,6559
